L1	ID	Function	EC	Count
integration and excision	phrog_1	integrase		5
unknown function	phrog_10430	hypothetical		14
DNA, RNA and nucleotide metabolism	phrog_10616	ribonucleotide reductase		2
unknown function	phrog_10724	hypothetical		2
other	phrog_10912	kinase		6
moron, auxiliary metabolic gene and host takeover	phrog_1112	phosphoribosylaminoimidazole-succinocarboxamide synthase		7
DNA, RNA and nucleotide metabolism	phrog_11145	DNA binding protein		1
unknown function	phrog_11208	hypothetical		1
unknown function	phrog_11383	hypothetical		3
unknown function	phrog_11396	hypothetical		66
head and packaging	phrog_115	minor head protein		26
unknown function	phrog_11626	hypothetical		1
other	phrog_11787	DNA methyltransferase		30
unknown function	phrog_11857	hypothetical		69
unknown function	phrog_11956	hypothetical		70
unknown function	phrog_1202	hypothetical		9
unknown function	phrog_12033	hypothetical		40
moron, auxiliary metabolic gene and host takeover	phrog_1207	phosphoribosylaminoimidazole synthetase		8
unknown function	phrog_1209	hypothetical		5
DNA, RNA and nucleotide metabolism	phrog_1211	2-aminooxy adenylosuccinate synthetase		15
DNA, RNA and nucleotide metabolism	phrog_1227	exonuclease		11
other	phrog_12316	ATPase		69
DNA, RNA and nucleotide metabolism	phrog_125	DNA invertase		23
DNA, RNA and nucleotide metabolism	phrog_1252	DNA polymerase		7
unknown function	phrog_12710	hypothetical		92
unknown function	phrog_12787	hypothetical		10
tail	phrog_1293	tail length tape measure protein		4
transcription regulation	phrog_130	anti-repressor Ant		19
unknown function	phrog_13226	hypothetical		4
unknown function	phrog_134	hypothetical		2
moron, auxiliary metabolic gene and host takeover	phrog_1358	FtsK/SpoIIIE-like protein		6
unknown function	phrog_13807	hypothetical		34
DNA, RNA and nucleotide metabolism	phrog_13933	nuclease		22
unknown function	phrog_14241	hypothetical		11
unknown function	phrog_14336	hypothetical		21
unknown function	phrog_14727	hypothetical		2
unknown function	phrog_15614	hypothetical		28
unknown function	phrog_15632	hypothetical		1
unknown function	phrog_15639	hypothetical		4
unknown function	phrog_1569	hypothetical		16
transcription regulation	phrog_15968	anti-repressor		60
unknown function	phrog_15996	hypothetical		8
DNA, RNA and nucleotide metabolism	phrog_160	thymidylate synthase		22
unknown function	phrog_16087	hypothetical		4
unknown function	phrog_16140	hypothetical		134
DNA, RNA and nucleotide metabolism	phrog_164	ParA-like partition protein		5
unknown function	phrog_16655	hypothetical		31
unknown function	phrog_16694	hypothetical		2
tail	phrog_167	tail length tape measure protein		47
unknown function	phrog_16797	hypothetical		18
tail	phrog_1686	tail length tape measure protein		25
other	phrog_170	PhoH-like phosphate starvation-inducible		5
unknown function	phrog_17128	hypothetical		12
DNA, RNA and nucleotide metabolism	phrog_174	dCMP deaminase		1
moron, auxiliary metabolic gene and host takeover	phrog_1741	QueC-like queuosine biosynthesis		25
unknown function	phrog_18394	hypothetical		19
unknown function	phrog_18628	hypothetical		5
unknown function	phrog_18916	hypothetical		43
unknown function	phrog_19271	hypothetical		35
unknown function	phrog_19422	hypothetical		2
unknown function	phrog_19509	hypothetical		26
unknown function	phrog_19526	hypothetical		7
DNA, RNA and nucleotide metabolism	phrog_1967	DNA helicase		3
unknown function	phrog_1977	hypothetical		2
unknown function	phrog_19793	hypothetical		34
unknown function	phrog_19918	hypothetical		92
unknown function	phrog_19980	hypothetical		21
unknown function	phrog_20109	hypothetical		5
DNA, RNA and nucleotide metabolism	phrog_20354	DNA topoisomerase II		2
other	phrog_20590	peptidase		5
unknown function	phrog_21110	hypothetical		58
unknown function	phrog_21263	hypothetical		74
unknown function	phrog_21327	hypothetical		23
head and packaging	phrog_215	structural protein with Ig domain		4
unknown function	phrog_21628	hypothetical		13
unknown function	phrog_21942	hypothetical		38
other	phrog_2197	GTP cyclohydrolase		4
unknown function	phrog_22245	hypothetical		1
head and packaging	phrog_2229	head maturation protease		2
DNA, RNA and nucleotide metabolism	phrog_2244	tRNA nucleotidyltransferase		4
unknown function	phrog_22485	hypothetical		56
unknown function	phrog_2277	hypothetical		6
unknown function	phrog_23041	hypothetical		2
moron, auxiliary metabolic gene and host takeover	phrog_2392	ABC transporter		155
unknown function	phrog_23947	hypothetical		50
unknown function	phrog_24316	hypothetical		20
unknown function	phrog_24349	hypothetical		297
transcription regulation	phrog_2439	transcriptional regulator		4
unknown function	phrog_24437	hypothetical		2
unknown function	phrog_24466	hypothetical		19
unknown function	phrog_24931	hypothetical		3
unknown function	phrog_25097	hypothetical		39
DNA, RNA and nucleotide metabolism	phrog_252	Bet-like ssDNA annealing protein		1
unknown function	phrog_25354	hypothetical		176
unknown function	phrog_25370	hypothetical		5
unknown function	phrog_25828	hypothetical		16
unknown function	phrog_26214	hypothetical		68
DNA, RNA and nucleotide metabolism	phrog_26484	DNA binding protein		1
unknown function	phrog_26606	hypothetical		8
other	phrog_26699	DNA methyltransferase		11
unknown function	phrog_26774	hypothetical		4
unknown function	phrog_26846	hypothetical		15
unknown function	phrog_27335	hypothetical		1
unknown function	phrog_27533	hypothetical		15
DNA, RNA and nucleotide metabolism	phrog_2760	RecT-like ssDNA annealing protein		4
DNA, RNA and nucleotide metabolism	phrog_27667	single strand DNA binding protein		9
unknown function	phrog_27849	hypothetical		77
unknown function	phrog_28030	hypothetical		6
unknown function	phrog_28378	hypothetical		52
unknown function	phrog_28604	hypothetical		5
unknown function	phrog_28663	hypothetical		9
unknown function	phrog_2895	hypothetical		5
moron, auxiliary metabolic gene and host takeover	phrog_293	ABC transporter		83
unknown function	phrog_29755	hypothetical		3
transcription regulation	phrog_2977	anti-repressor		19
unknown function	phrog_29784	hypothetical		45
unknown function	phrog_29996	hypothetical		2
unknown function	phrog_30090	hypothetical		21
unknown function	phrog_30120	hypothetical		11
unknown function	phrog_30201	hypothetical		13
unknown function	phrog_30501	hypothetical		3
unknown function	phrog_30623	hypothetical		3
unknown function	phrog_30628	hypothetical		3
unknown function	phrog_30773	hypothetical		58
unknown function	phrog_31116	hypothetical		25
unknown function	phrog_31529	hypothetical		17
DNA, RNA and nucleotide metabolism	phrog_316	dihydrofolate reductase		8
unknown function	phrog_31614	hypothetical		2
unknown function	phrog_31882	hypothetical		2
unknown function	phrog_31898	hypothetical		1
unknown function	phrog_32098	hypothetical		1
DNA, RNA and nucleotide metabolism	phrog_3264	ParB-like partition protein		1
unknown function	phrog_32699	hypothetical		1
unknown function	phrog_32805	hypothetical		47
unknown function	phrog_33002	hypothetical		2
unknown function	phrog_33999	hypothetical		1
unknown function	phrog_3423	hypothetical		1
unknown function	phrog_34276	hypothetical		14
unknown function	phrog_34613	hypothetical		48
unknown function	phrog_34724	hypothetical		27
unknown function	phrog_35063	hypothetical		76
transcription regulation	phrog_351	RNA polymerase sigma factor		9
lysis	phrog_3513	endolysin		9
unknown function	phrog_35155	hypothetical		18
unknown function	phrog_35435	hypothetical		44
moron, auxiliary metabolic gene and host takeover	phrog_3551	FtsK/SpoIIIE-like protein		10
other	phrog_35515	thymidine kinase		5
unknown function	phrog_35619	hypothetical		1
unknown function	phrog_35649	hypothetical		3
unknown function	phrog_35693	hypothetical		12
head and packaging	phrog_361	terminase small subunit		4
unknown function	phrog_36445	hypothetical		3
unknown function	phrog_37239	hypothetical		3
unknown function	phrog_37310	hypothetical		21
DNA, RNA and nucleotide metabolism	phrog_379	DNA binding protein		10
unknown function	phrog_38523	hypothetical		1
unknown function	phrog_38585	hypothetical		30
DNA, RNA and nucleotide metabolism	phrog_3869	NAD-dependent DNA ligase		17
unknown function	phrog_398	hypothetical		31
unknown function	phrog_3980	hypothetical		6
connector	phrog_4014	head-tail adaptor		4
DNA, RNA and nucleotide metabolism	phrog_405	DNA polymerase		19
unknown function	phrog_4212	hypothetical		2
unknown function	phrog_4339	hypothetical		10
DNA, RNA and nucleotide metabolism	phrog_44	single strand DNA binding protein		48
tail	phrog_441	tail assembly chaperone		25
DNA, RNA and nucleotide metabolism	phrog_4412	exonuclease V		12
other	phrog_4602	transglycosylase		10
unknown function	phrog_4609	hypothetical		14
head and packaging	phrog_4758	terminase large subunit		1
moron, auxiliary metabolic gene and host takeover	phrog_487	NrdD-like anaerobic ribonucleotide reductase large subunit		50
other	phrog_4871	ATP-dependent protease		194
DNA, RNA and nucleotide metabolism	phrog_4880	replisome organizer		6
head and packaging	phrog_4914	terminase large subunit		25
other	phrog_4941	dehydrogenase		11
moron, auxiliary metabolic gene and host takeover	phrog_4980	superinfection exclusion		49
unknown function	phrog_5070	hypothetical		2
DNA, RNA and nucleotide metabolism	phrog_543	DNA topoisomerase II large subunit		6
DNA, RNA and nucleotide metabolism	phrog_551	DNA topoisomerase II		11
unknown function	phrog_5517	hypothetical		17
tail	phrog_5555	tail protein		12
DNA, RNA and nucleotide metabolism	phrog_561	RecT-like ssDNA annealing protein		1
head and packaging	phrog_5653	terminase large subunit		1
other	phrog_5725	chaperonin groEL		19
DNA, RNA and nucleotide metabolism	phrog_5846	clamp loader of DNA polymerase		12
other	phrog_592	thymidine kinase		4
DNA, RNA and nucleotide metabolism	phrog_5968	replisome organizer		1
head and packaging	phrog_6042	minor head protein		23
DNA, RNA and nucleotide metabolism	phrog_6132	ribonucleotide reductase large subunit		14
tail	phrog_6183	minor tail protein		12
DNA, RNA and nucleotide metabolism	phrog_62	DNA helicase		1
unknown function	phrog_6216	hypothetical		8
DNA, RNA and nucleotide metabolism	phrog_6397	ribonucleotide reductase large subunit		7
head and packaging	phrog_64	portal protein		30
DNA, RNA and nucleotide metabolism	phrog_6444	DNA primase		12
