ID	Function	Gene	Count
TIGR00002	ribosomal protein bS16	rpsP	8
TIGR00005	pseudouridine synthase, RluA family		10
TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase	rsmH	14
TIGR00008	translation initiation factor IF-1	infA	17
TIGR00009	ribosomal protein bL28	rpmB	3
TIGR00010	hydrolase, TatD family		9
TIGR00011	Cys-tRNA(Pro) deacylase	ybaK	4
TIGR00012	ribosomal protein uL29	rpmC	5
TIGR00016	acetate kinase	ackA	23
TIGR00017	cytidylate kinase	cmk	8
TIGR00019	peptide chain release factor 1	prfA	55
TIGR00020	peptide chain release factor 2	prfB	41
TIGR00021	ribose 5-phosphate isomerase A	rpiA	9
TIGR00030	ribosomal protein bS21	rpsU	8
TIGR00032	argininosuccinate synthase	argG	2
TIGR00034	3-deoxy-7-phosphoheptulonate synthase		2
TIGR00038	translation elongation factor P	efp	2
TIGR00042	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family	rdgB	4
TIGR00043	rRNA maturation RNase YbeY	ybeY	8
TIGR00045	glycerate kinase		1
TIGR00054	RIP metalloprotease RseP	rseP	3
TIGR00055	di-trans,poly-cis-decaprenylcistransferase	uppS	14
TIGR00057	tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family		2
TIGR00059	ribosomal protein bL17	rplQ	1
TIGR00060	ribosomal protein uL18	rplR	13
TIGR00063	GTP cyclohydrolase I	folE	2
TIGR00064	signal recognition particle-docking protein FtsY	ftsY	29
TIGR00065	cell division protein FtsZ	ftsZ	39
TIGR00067	glutamate racemase	murI	4
TIGR00068	lactoylglutathione lyase	gloA	1
TIGR00069	histidinol dehydrogenase	hisD	4
TIGR00070	ATP phosphoribosyltransferase	hisG	1
TIGR00078	nicotinate-nucleotide diphosphorylase (carboxylating)	nadC	15
TIGR00079	peptide deformylase	def	1
TIGR00081	phosphoribosylaminoimidazolesuccinocarboxamide synthase	purC	3
TIGR00086	SsrA-binding protein	smpB	6
TIGR00088	tRNA (guanine(37)-N(1))-methyltransferase	trmD	10
TIGR00091	tRNA (guanine-N(7)-)-methyltransferase	trmB	1
TIGR00092	GTP-binding protein YchF	ychF	30
TIGR00095	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	rsmD	1
TIGR00096	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI	4
TIGR00097	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	thiD	8
TIGR00099	Cof-like hydrolase		9
TIGR00101	urease accessory protein UreG	ureG	2
TIGR00107	purine nucleoside phosphorylase	deoD	13
TIGR00112	pyrroline-5-carboxylate reductase	proC	1
TIGR00113	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	queA	19
TIGR00115	trigger factor	tig	10
TIGR00116	translation elongation factor Ts	tsf	13
TIGR00118	acetolactate synthase, large subunit, biosynthetic type	ilvB	7
TIGR00126	deoxyribose-phosphate aldolase	deoC	1
TIGR00131	galactokinase	galK	3
TIGR00132	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit	gatA	50
TIGR00133	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit	gatB	9
TIGR00136	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA	gidA	68
TIGR00137	tRNA:m(5)U-54 methyltransferase	trmFO	43
TIGR00138	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG	6
TIGR00147	lipid kinase, YegS/Rv2252/BmrU family		5
TIGR00150	tRNA threonylcarbamoyl adenosine modification protein YjeE		7
TIGR00159	TIGR00159 family protein		10
TIGR00160	methylglyoxal synthase	mgsA	8
TIGR00164	phosphatidylserine decarboxylase homolog		1
TIGR00165	ribosomal protein bS18	rpsR	12
TIGR00167	ketose-bisphosphate aldolase		2
TIGR00168	translation initiation factor IF-3	infC	18
TIGR00169	3-isopropylmalate dehydrogenase	leuB	2
TIGR00170	3-isopropylmalate dehydratase, large subunit	leuC	1
TIGR00174	tRNA dimethylallyltransferase	miaA	7
TIGR00181	oligoendopeptidase F	pepF	20
TIGR00182	fatty acid/phospholipid synthesis protein PlsX	plsX	14
TIGR00184	adenylosuccinate synthase	purA	41
TIGR00185	tRNA (cytidine(34)-2'-O)-methyltransferase	trmL	1
TIGR00186	RNA methyltransferase, TrmH family, group 3		14
TIGR00194	excinuclease ABC subunit C	uvrC	11
TIGR00200	competence/damage-inducible protein CinA N-terminal domain		7
TIGR00211	glycine--tRNA ligase, beta subunit	glyS	8
TIGR00225	C-terminal processing peptidase		2
TIGR00232	transketolase	tkt	70
TIGR00233	tryptophan--tRNA ligase	trpS	2
TIGR00234	tyrosine--tRNA ligase	tyrS	4
TIGR00235	uridine kinase	udk	15
TIGR00236	UDP-N-acetylglucosamine 2-epimerase		15
TIGR00237	exodeoxyribonuclease VII, large subunit	xseA	24
TIGR00239	oxoglutarate dehydrogenase (succinyl-transferring), E1 component	sucA	8
TIGR00244	transcriptional regulator NrdR	nrdR	7
TIGR00245	TIGR00245 family protein		6
TIGR00246	rRNA large subunit m3Psi methyltransferase RlmH	rlmH	2
TIGR00250	putative transcription antitermination factor YqgF		1
TIGR00253	putative RNA-binding protein, YhbY family		2
TIGR00256	D-tyrosyl-tRNA(Tyr) deacylase	dtd	2
TIGR00257	uncharacterized protein, YigZ family		17
TIGR00263	tryptophan synthase, beta subunit	trpB	6
TIGR00274	N-acetylmuramic acid 6-phosphate etherase	murQ	13
TIGR00275	flavoprotein, HI0933 family		1
TIGR00278	putative membrane protein insertion efficiency factor	yidD	4
TIGR00282	metallophosphoesterase, MG_246/BB_0505 family		11
TIGR00328	flagellar biosynthetic protein FlhB	flhB	2
TIGR00331	heat-inducible transcription repressor HrcA	hrcA	24
TIGR00334	ribonuclease M5	rnmV	1
TIGR00336	orotate phosphoribosyltransferase	pyrE	6
TIGR00337	CTP synthase	pyrG	59
TIGR00342	tRNA sulfurtransferase ThiI	thiI	6
TIGR00344	alanine--tRNA ligase	alaS	28
TIGR00348	type I site-specific deoxyribonuclease, HsdR family	hsdR	5
TIGR00353	cytochrome c-type biogenesis protein CcmF	ccmF	2
TIGR00355	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	purH	33
TIGR00357	methionine-R-sulfoxide reductase	msrB	20
TIGR00359	PTS system, cellobiose-specific IIC component	celB	16
TIGR00362	chromosomal replication initiator protein DnaA	dnaA	28
TIGR00365	monothiol glutaredoxin, Grx4 family	grxD	1
TIGR00368	Mg chelatase-like protein		3
TIGR00382	ATP-dependent Clp protease, ATP-binding subunit ClpX	clpX	38
TIGR00388	glycine--tRNA ligase, alpha subunit	glyQ	27
TIGR00390	ATP-dependent protease HslVU, ATPase subunit	hslU	52
TIGR00392	isoleucine--tRNA ligase	ileS	32
TIGR00394	PTS system, lactose-specific IIC component		41
TIGR00396	leucine--tRNA ligase	leuS	97
TIGR00398	methionine--tRNA ligase	metG	23
TIGR00399	methionine--tRNA ligase, beta subunit	metG	2
TIGR00401	peptide-methionine (S)-S-oxide reductase	msrA	2
TIGR00406	ribosomal protein L11 methyltransferase	prmA	11
TIGR00407	glutamate-5-semialdehyde dehydrogenase	proA	4
TIGR00409	proline--tRNA ligase	proS	27
TIGR00410	PTS system, lactose/cellobiose family IIC component		16
TIGR00414	serine--tRNA ligase	serS	93
TIGR00416	DNA repair protein RadA	radA	48
TIGR00417	spermidine synthase	speE	2
TIGR00418	threonine--tRNA ligase	thrS	33
TIGR00420	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	trmU	19
TIGR00422	valine--tRNA ligase	valS	83
TIGR00426	competence protein ComEA helix-hairpin-helix repeat region		5
TIGR00430	tRNA-guanine transglycosylase	tgt	49
TIGR00431	tRNA pseudouridine(55) synthase	truB	2
TIGR00435	cysteine--tRNA ligase	cysS	37
TIGR00436	GTP-binding protein Era	era	11
TIGR00437	ferrous iron transport protein B	feoB	23
TIGR00442	histidine--tRNA ligase	hisS	23
TIGR00445	phospho-N-acetylmuramoyl-pentapeptide-transferase	mraY	11
TIGR00447	aminoacyl-tRNA hydrolase	pth	10
TIGR00449	tRNA-guanine family transglycosylase		5
TIGR00450	tRNA modification GTPase TrmE	trmE	11
TIGR00455	adenylyl-sulfate kinase	cysC	3
TIGR00456	arginine--tRNA ligase	argS	2
TIGR00457	asparagine--tRNA ligase	asnS	25
TIGR00459	aspartate--tRNA ligase	aspS	37
TIGR00460	methionyl-tRNA formyltransferase	fmt	10
TIGR00462	EF-P lysine aminoacylase GenX		6
TIGR00464	glutamate--tRNA ligase	gltX	36
TIGR00465	ketol-acid reductoisomerase	ilvC	3
TIGR00468	phenylalanine--tRNA ligase, alpha subunit	pheS	18
TIGR00472	phenylalanine--tRNA ligase, beta subunit	pheT	12
TIGR00478	TlyA family rRNA methyltransferase/putative hemolysin		10
TIGR00479	23S rRNA (uracil-5-)-methyltransferase RumA	rumA	6
TIGR00484	translation elongation factor G	fusA	119
TIGR00485	translation elongation factor Tu	tuf	99
TIGR00487	translation initiation factor IF-2	infB	69
TIGR00493	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP	clpP	23
TIGR00496	ribosome recycling factor	frr	12
TIGR00498	repressor LexA	lexA	2
TIGR00499	lysine--tRNA ligase	lysS	68
TIGR00500	methionine aminopeptidase, type I	map	4
TIGR00502	glucosamine-6-phosphate deaminase	nagB	8
TIGR00503	peptide chain release factor 3	prfC	31
TIGR00504	pyroglutamyl-peptidase I	pcp	9
TIGR00506	3,4-dihydroxy-2-butanone-4-phosphate synthase	ribB	1
TIGR00508	adenosylmethionine-8-amino-7-oxononanoate transaminase	bioA	8
TIGR00510	lipoyl synthase	lipA	2
TIGR00513	acetyl-CoA carboxylase, carboxyl transferase, alpha subunit	accA	28
TIGR00514	acetyl-CoA carboxylase, biotin carboxylase subunit	accC	38
TIGR00515	acetyl-CoA carboxylase, carboxyl transferase, beta subunit	accD	19
TIGR00517	acyl carrier protein	acpP	3
TIGR00520	L-asparaginase, type II		3
TIGR00521	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase	coaBC	1
