L1	ID	Function	EC	UNIPROT ID	Count
Virus protein with function beneficial for the host	VOG00260	Guanylate kinase		KGUA_HUMAN	3
Virus protein with function beneficial for the host	VOG00580	RNA polymerase sigma factor RpoD		RPOD_ECOLI	6
Function unknown	VOG01324	Terminase large subunit			4
Virus protein with function beneficial for the host | Virus replication	VOG01469	DNA polymerase III subunit alpha		DPO3A_THEAQ	4
Function unknown	VOG01904	Helix-turn-helix domain-containing protein			1
Virus replication	VOG02518	Thymidylate synthase		TYSY_BPT4	4
Virus protein with function beneficial for the host	VOG03338	PhoH-like protein		PHOL_BACSU	3
Function unknown	VOG05712	DUF1642 domain-containing protein			4
Function unknown	VOG09269	Chloramphenicol acetyltransferase			2
Function unknown	VOG10427	Hypothetical protein			6
Virus protein with function beneficial for the host	VOG11227	ABC transporter F family member 4		AB4F_ARATH	2
Virus protein with function beneficial for the host | Virus replication	VOG11241	Multifunctional CCA protein		CCA_SHEPA	3
Virus protein with function beneficial for the host	VOG12011	DNA topoisomerase 2-alpha		TOP2A_CRIGR	6
Function unknown	VOG12029	Hypothetical protein			4
Virus protein with function beneficial for the host	VOG12234	Serine hydroxymethyltransferase		GLYA_NITSB	6
Virus protein with function beneficial for the host	VOG13448	ATP-dependent zinc metalloprotease FTSH 1, chloroplastic		FTSH1_ORYSJ	2
Function unknown	VOG13817	UPF0335 protein Avi_3695		Y3695_ALLAM	1
Function unknown	VOG13845	Tail length tape measure protein			3
Function unknown	VOG14074	DnaJ-like protein R260		YR260_MIMIV	1
Virus protein with function beneficial for the host	VOG14634	Chromosome partitioning protein ParA		PARA_CAUVN	1
Virus protein with function beneficial for the host | Virus replication	VOG15191	Thymidine kinase		KITH_BPT4	1
Virus protein with function beneficial for the host	VOG16479	UDP-galactopyranose mutase		GLF_MYCTU	1
Virus protein with function beneficial for the host	VOG17365	Ribonucleoside-diphosphate reductase subunit beta		RIR2_BACSU	13
Virus protein with function beneficial for the host	VOG17654	Glucose-1-phosphate thymidylyltransferase		RMLA_YEREN	3
Virus protein with function beneficial for the host	VOG18561	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A		ERF3A_HUMAN	2
Virus protein with function beneficial for the host	VOG18566	DTDP-4-dehydrorhamnose 3,5-epimerase		RMLC_METTH	3
Virus protein with function beneficial for the host	VOG20884	GMP reductase		GMPR_ONCVO	6
Virus protein with function beneficial for the host	VOG20913	DNA topoisomerase medium subunit		TOP5_BPT4	3
Virus protein with function beneficial for the host	VOG21362	Phosphoribosylformylglycinamidine cyclo-ligase		PUR5_SYNSC	1
Virus protein with function beneficial for the host	VOG21951	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive		AROF_ECOLI	1
Virus protein with function beneficial for the host	VOG22568	Ribonucleoside-diphosphate reductase subunit alpha		RIR1_MYCBO	8
