ID	Function	Gene	Count
TIGR00002	ribosomal protein bS16	rpsP	5
TIGR00005	pseudouridine synthase, RluA family		11
TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase	rsmH	20
TIGR00008	translation initiation factor IF-1	infA	13
TIGR00010	hydrolase, TatD family		12
TIGR00011	Cys-tRNA(Pro) deacylase	ybaK	3
TIGR00012	ribosomal protein uL29	rpmC	6
TIGR00016	acetate kinase	ackA	15
TIGR00017	cytidylate kinase	cmk	14
TIGR00019	peptide chain release factor 1	prfA	41
TIGR00020	peptide chain release factor 2	prfB	52
TIGR00021	ribose 5-phosphate isomerase A	rpiA	6
TIGR00030	ribosomal protein bS21	rpsU	2
TIGR00032	argininosuccinate synthase	argG	1
TIGR00033	chorismate synthase	aroC	4
TIGR00038	translation elongation factor P	efp	2
TIGR00042	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family	rdgB	3
TIGR00043	rRNA maturation RNase YbeY	ybeY	7
TIGR00045	glycerate kinase		6
TIGR00054	RIP metalloprotease RseP	rseP	7
TIGR00055	di-trans,poly-cis-decaprenylcistransferase	uppS	8
TIGR00056	ABC transport permease subunit		2
TIGR00059	ribosomal protein bL17	rplQ	2
TIGR00060	ribosomal protein uL18	rplR	8
TIGR00062	ribosomal protein bL27	rpmA	2
TIGR00063	GTP cyclohydrolase I	folE	4
TIGR00064	signal recognition particle-docking protein FtsY	ftsY	41
TIGR00065	cell division protein FtsZ	ftsZ	41
TIGR00067	glutamate racemase	murI	4
TIGR00078	nicotinate-nucleotide diphosphorylase (carboxylating)	nadC	21
TIGR00079	peptide deformylase	def	1
TIGR00081	phosphoribosylaminoimidazolesuccinocarboxamide synthase	purC	2
TIGR00086	SsrA-binding protein	smpB	8
TIGR00088	tRNA (guanine(37)-N(1))-methyltransferase	trmD	19
TIGR00090	ribosome silencing factor	rsfS	6
TIGR00091	tRNA (guanine-N(7)-)-methyltransferase	trmB	2
TIGR00092	GTP-binding protein YchF	ychF	50
TIGR00096	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI	1
TIGR00097	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	thiD	7
TIGR00099	Cof-like hydrolase		17
TIGR00101	urease accessory protein UreG	ureG	1
TIGR00107	purine nucleoside phosphorylase	deoD	11
TIGR00110	dihydroxy-acid dehydratase	ilvD	3
TIGR00112	pyrroline-5-carboxylate reductase	proC	3
