L1	ID	Function	EC	UNIPROT ID	Count
Virus protein with function beneficial for the host	VOG00260	Guanylate kinase		KGUA_HUMAN	7
Virus protein with function beneficial for the host	VOG00420	Bleomycin hydrolase		BLMH_RAT	2
Virus protein with function beneficial for the host	VOG00580	RNA polymerase sigma factor RpoD		RPOD_ECOLI	18
Function unknown	VOG01324	Terminase large subunit			35
Virus protein with function beneficial for the host | Virus replication	VOG01469	DNA polymerase III subunit alpha		DPO3A_THEAQ	13
Function unknown	VOG01904	Helix-turn-helix domain-containing protein			9
Virus protein with function beneficial for the host	VOG02491	ATP-dependent Clp protease proteolytic subunit 1		CLPP1_PROMT	1
Virus replication	VOG02518	Thymidylate synthase		TYSY_BPT4	32
Virus protein with function beneficial for the host	VOG03338	PhoH-like protein		PHOL_BACSU	17
Function unknown	VOG04683	Putative protein p41		VP41_BPAPS	2
Virus protein with function beneficial for the host	VOG05612	Immunity protein		BIMM_BPT4	1
Virus protein with function beneficial for the host | Virus replication	VOG07106	Elongation factor Tu		EFTU_ALCBS	1
Function unknown	VOG08597	Transcriptional regulator			4
Function unknown	VOG09088	Putative terminase large subunit			6
Virus protein with function beneficial for the host	VOG09118	Cysteine--tRNA ligase, cytoplasmic		SYCC_DICDI	6
Virus protein with function beneficial for the host	VOG09123	GTP cyclohydrolase 1		GCH1_DESRM	4
Function unknown	VOG09269	Chloramphenicol acetyltransferase			2
Function unknown	VOG10427	Hypothetical protein			22
Function unknown	VOG10449	Uncharacterized protein HI_1405		Y1405_HAEIN	2
Virus protein with function beneficial for the host	VOG11227	ABC transporter F family member 4		AB4F_ARATH	3
Virus protein with function beneficial for the host | Virus replication	VOG11241	Multifunctional CCA protein		CCA_SHEPA	4
Virus protein with function beneficial for the host	VOG11514	ComE operon protein 3		COMEC_BACSU	1
Virus protein with function beneficial for the host	VOG12011	DNA topoisomerase 2-alpha		TOP2A_CRIGR	10
Virus protein with function beneficial for the host	VOG12234	Serine hydroxymethyltransferase		GLYA_NITSB	40
Virus protein with function beneficial for the host	VOG13448	ATP-dependent zinc metalloprotease FTSH 1, chloroplastic		FTSH1_ORYSJ	15
Function unknown	VOG13817	UPF0335 protein Avi_3695		Y3695_ALLAM	2
Function unknown	VOG13845	Tail length tape measure protein			22
Function unknown	VOG14074	DnaJ-like protein R260		YR260_MIMIV	9
Virus protein with function beneficial for the host	VOG14634	Chromosome partitioning protein ParA		PARA_CAUVN	5
Virus protein with function beneficial for the host	VOG14640	34.2 kDa protein in rubredoxin operon		R34K_CLOPA	11
Virus protein with function beneficial for the host | Virus replication	VOG15191	Thymidine kinase		KITH_BPT4	5
Virus protein with function beneficial for the host | Virus replication	VOG15968	Probable flavin-dependent thymidylate synthase		THYX_BPML5	2
Virus protein with function beneficial for the host	VOG17365	Ribonucleoside-diphosphate reductase subunit beta		RIR2_BACSU	5
Virus protein with function beneficial for the host	VOG17654	Glucose-1-phosphate thymidylyltransferase		RMLA_YEREN	15
Virus protein with function beneficial for the host	VOG18561	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A		ERF3A_HUMAN	5
Virus protein with function beneficial for the host	VOG18566	DTDP-4-dehydrorhamnose 3,5-epimerase		RMLC_METTH	5
Virus replication	VOG19856	Resolvase homolog YokA		YOKA_BACSU	7
Virus protein with function beneficial for the host	VOG20884	GMP reductase		GMPR_ONCVO	21
Virus protein with function beneficial for the host	VOG20913	DNA topoisomerase medium subunit		TOP5_BPT4	46
Virus protein with function beneficial for the host | Virus replication	VOG20914	Deoxycytidylate deaminase		DCTD_BPT4	2
Virus protein with function beneficial for the host	VOG21362	Phosphoribosylformylglycinamidine cyclo-ligase		PUR5_SYNSC	1
Virus protein with function beneficial for the host	VOG22568	Ribonucleoside-diphosphate reductase subunit alpha		RIR1_MYCBO	9
Virus protein with function beneficial for the host	VOG23825	Adenylosuccinate lyase		PUR8_VIBC3	2
Function unknown	VOG24355	Uracil-DNA glycosylase		UNG_VACCA	16
Virus protein with function beneficial for the host	VOG24848	Threonine--tRNA ligase 1, cytoplasmic		SYTC_HUMAN	2
Virus protein with function beneficial for the host	VOG27114	Probable endolytic peptidoglycan transglycosylase RlpA		RLPA_SYNY3	2
