ID	Function	Clan	Gene	Count
PF00004	ATPase family associated with various cellular activities (AAA)	CL0023	AAA	1
PF00005	ABC transporter	CL0023	ABC_tran	2
PF00006	ATP synthase alpha/beta family, nucleotide-binding domain	CL0023	ATP-synt_ab	11
PF00009	Elongation factor Tu GTP binding domain	CL0023	GTP_EFTU	40
PF00012	Hsp70 protein	CL0108	HSP70	57
PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain		MCPsignal	1
PF00032	Cytochrome b(C-terminal)/b6/petD		Cytochrom_B_C	1
PF00044	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	CL0063	Gp_dh_N	2
PF00046	Homeodomain	CL0123	Homeodomain	3
PF00081	Iron/manganese superoxide dismutases, alpha-hairpin domain		Sod_Fe_N	3
PF00091	Tubulin/FtsZ family, GTPase domain	CL0063	Tubulin	9
PF00108	Thiolase, N-terminal domain	CL0046	Thiolase_N	5
PF00109	Beta-ketoacyl synthase, N-terminal domain	CL0046	ketoacyl-synt	1
PF00113	Enolase, C-terminal TIM barrel domain	CL0036	Enolase_C	30
PF00117	Glutamine amidotransferase class-I	CL0014	GATase	1
PF00120	Glutamine synthetase, catalytic domain	CL0286	Gln-synt_C	17
PF00121	Triosephosphate isomerase	CL0036	TIM	33
PF00122	E1-E2 ATPase		E1-E2_ATPase	13
PF00128	Alpha amylase, catalytic domain	CL0036	Alpha-amylase	15
PF00133	tRNA synthetases class I (I, L, M and V)	CL0039	tRNA-synt_1	32
PF00140	Sigma-70 factor, region 1.2		Sigma70_r1_2	7
PF00152	tRNA synthetases class II (D, K and N) 	CL0040	tRNA-synt_2	31
PF00154	recA bacterial DNA recombination protein	CL0023	RecA	51
PF00158	Sigma-54 interaction domain	CL0023	Sigma54_activat	11
PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	CL0475	Pro_isomerase	11
PF00162	Phosphoglycerate kinase		PGK	15
PF00164	Ribosomal protein S12/S23	CL0021	Ribosom_S12_S23	17
PF00177	Ribosomal protein S7p/S5e		Ribosomal_S7	38
PF00180	Isocitrate/isopropylmalate dehydrogenase	CL0270	Iso_dh	2
PF00181	Ribosomal Proteins L2, RNA binding domain	CL0021	Ribosomal_L2	12
PF00186	Dihydrofolate reductase	CL0387	DHFR_1	8
PF00189	Ribosomal protein S3, C-terminal domain		Ribosomal_S3_C	17
PF00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	CL0149	2-oxoacid_dh	11
PF00199	Catalase		Catalase	5
PF00202	Aminotransferase class-III	CL0061	Aminotran_3	1
PF00203	Ribosomal protein S19		Ribosomal_S19	11
PF00204	DNA gyrase B	CL0329	DNA_gyraseB	13
PF00206	Lyase		Lyase_1	1
PF00216	Bacterial DNA-binding protein	CL0548	Bac_DNA_binding	3
PF00224	Pyruvate kinase, barrel domain	CL0036	PK	25
PF00226	DnaJ domain	CL0392	DnaJ	9
PF00231	ATP synthase		ATP-synt	3
PF00232	Glycosyl hydrolase family 1	CL0036	Glyco_hydro_1	37
PF00233	3'5'-cyclic nucleotide phosphodiesterase	CL0237	PDEase_I	6
PF00237	Ribosomal protein L22p/L17e		Ribosomal_L22	19
PF00238	Ribosomal protein L14p/L23e		Ribosomal_L14	8
PF00251	Glycosyl hydrolases family 32 N-terminal domain	CL0143	Glyco_hydro_32N	1
PF00252	Ribosomal protein L16p/L10e	CL0021	Ribosomal_L16	15
PF00253	Ribosomal protein S14p/S29e		Ribosomal_S14	1
PF00266	Aminotransferase class-V	CL0061	Aminotran_5	21
PF00270	DEAD/DEAH box helicase	CL0023	DEAD	1
PF00281	Ribosomal protein L5	CL0652	Ribosomal_L5	4
PF00289	Biotin carboxylase, N-terminal domain	CL0063	Biotin_carb_N	6
PF00298	Ribosomal protein L11, RNA binding domain		Ribosomal_L11	8
PF00303	Thymidylate synthase		Thymidylat_synt	31
PF00306	ATP synthase alpha/beta chain, C terminal domain		ATP-synt_ab_C	12
PF00308	Bacterial dnaA  protein	CL0023	Bac_DnaA	5
PF00310	Glutamine amidotransferases class-II	CL0052	GATase_2	7
PF00312	Ribosomal protein S15	CL0600	Ribosomal_S15	20
