ID	Function	Gene	Count
TIGR00002	ribosomal protein bS16	rpsP	7
TIGR00005	pseudouridine synthase, RluA family		6
TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase	rsmH	3
TIGR00008	translation initiation factor IF-1	infA	1
TIGR00009	ribosomal protein bL28	rpmB	1
TIGR00010	hydrolase, TatD family		4
TIGR00011	Cys-tRNA(Pro) deacylase	ybaK	1
TIGR00012	ribosomal protein uL29	rpmC	1
TIGR00016	acetate kinase	ackA	10
TIGR00017	cytidylate kinase	cmk	1
TIGR00019	peptide chain release factor 1	prfA	15
TIGR00020	peptide chain release factor 2	prfB	7
TIGR00021	ribose 5-phosphate isomerase A	rpiA	4
TIGR00030	ribosomal protein bS21	rpsU	1
TIGR00033	chorismate synthase	aroC	1
TIGR00034	3-deoxy-7-phosphoheptulonate synthase		1
TIGR00042	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family	rdgB	2
TIGR00043	rRNA maturation RNase YbeY	ybeY	5
TIGR00055	di-trans,poly-cis-decaprenylcistransferase	uppS	6
TIGR00064	signal recognition particle-docking protein FtsY	ftsY	17
TIGR00065	cell division protein FtsZ	ftsZ	18
TIGR00069	histidinol dehydrogenase	hisD	1
TIGR00078	nicotinate-nucleotide diphosphorylase (carboxylating)	nadC	5
TIGR00086	SsrA-binding protein	smpB	1
TIGR00088	tRNA (guanine(37)-N(1))-methyltransferase	trmD	1
TIGR00092	GTP-binding protein YchF	ychF	8
TIGR00096	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI	1
TIGR00097	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	thiD	2
TIGR00099	Cof-like hydrolase		3
TIGR00113	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	queA	8
TIGR00115	trigger factor	tig	1
TIGR00116	translation elongation factor Ts	tsf	1
TIGR00117	aconitate hydratase 2	acnB	2
TIGR00132	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit	gatA	10
TIGR00133	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit	gatB	2
TIGR00136	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA	gidA	12
TIGR00137	tRNA:m(5)U-54 methyltransferase	trmFO	15
TIGR00138	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG	2
TIGR00150	tRNA threonylcarbamoyl adenosine modification protein YjeE		1
TIGR00160	methylglyoxal synthase	mgsA	8
TIGR00165	ribosomal protein bS18	rpsR	1
TIGR00167	ketose-bisphosphate aldolase		1
TIGR00168	translation initiation factor IF-3	infC	4
TIGR00171	3-isopropylmalate dehydratase, small subunit	leuD	1
TIGR00174	tRNA dimethylallyltransferase	miaA	1
TIGR00181	oligoendopeptidase F	pepF	6
TIGR00182	fatty acid/phospholipid synthesis protein PlsX	plsX	3
TIGR00184	adenylosuccinate synthase	purA	7
TIGR00200	competence/damage-inducible protein CinA N-terminal domain		2
TIGR00211	glycine--tRNA ligase, beta subunit	glyS	2
TIGR00225	C-terminal processing peptidase		2
TIGR00232	transketolase	tkt	11
TIGR00233	tryptophan--tRNA ligase	trpS	1
TIGR00234	tyrosine--tRNA ligase	tyrS	7
TIGR00235	uridine kinase	udk	6
TIGR00236	UDP-N-acetylglucosamine 2-epimerase		3
TIGR00244	transcriptional regulator NrdR	nrdR	2
TIGR00245	TIGR00245 family protein		1
TIGR00246	rRNA large subunit m3Psi methyltransferase RlmH	rlmH	1
TIGR00256	D-tyrosyl-tRNA(Tyr) deacylase	dtd	7
TIGR00257	uncharacterized protein, YigZ family		4
TIGR00274	N-acetylmuramic acid 6-phosphate etherase	murQ	8
TIGR00282	metallophosphoesterase, MG_246/BB_0505 family		2
TIGR00337	CTP synthase	pyrG	4
TIGR00342	tRNA sulfurtransferase ThiI	thiI	4
TIGR00344	alanine--tRNA ligase	alaS	7
TIGR00355	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	purH	1
TIGR00357	methionine-R-sulfoxide reductase	msrB	4
TIGR00359	PTS system, cellobiose-specific IIC component	celB	4
TIGR00362	chromosomal replication initiator protein DnaA	dnaA	4
TIGR00382	ATP-dependent Clp protease, ATP-binding subunit ClpX	clpX	16
TIGR00388	glycine--tRNA ligase, alpha subunit	glyQ	11
TIGR00390	ATP-dependent protease HslVU, ATPase subunit	hslU	8
TIGR00392	isoleucine--tRNA ligase	ileS	11
TIGR00394	PTS system, lactose-specific IIC component		4
TIGR00396	leucine--tRNA ligase	leuS	26
TIGR00398	methionine--tRNA ligase	metG	4
TIGR00399	methionine--tRNA ligase, beta subunit	metG	2
TIGR00401	peptide-methionine (S)-S-oxide reductase	msrA	1
TIGR00406	ribosomal protein L11 methyltransferase	prmA	1
TIGR00409	proline--tRNA ligase	proS	7
TIGR00410	PTS system, lactose/cellobiose family IIC component		4
TIGR00414	serine--tRNA ligase	serS	19
TIGR00416	DNA repair protein RadA	radA	8
TIGR00418	threonine--tRNA ligase	thrS	11
TIGR00420	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	trmU	3
TIGR00422	valine--tRNA ligase	valS	14
TIGR00430	tRNA-guanine transglycosylase	tgt	10
