L1	L2	L3	L4	ID	Function	EC	Count
Nucleotide transport and metabolism	Purine salvage	XapA	1YQQ	COG0005	Purine nucleoside phosphorylase		1
Translation, ribosomal structure and biogenesis	tRNA modification	TsaC	1HRU	COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC		1
Amino acid transport and metabolism	Proline biosynthesis	ProA	4GHK	COG0014	Gamma-glutamyl phosphate reductase		3
Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases	AsnS	3KFU	COG0017	Aspartyl/asparaginyl-tRNA synthetase		1
Lipid transport and metabolism		UppS	1X07	COG0020	Undecaprenyl pyrophosphate synthase		1
Carbohydrate transport and metabolism	Pentose phosphate pathway	TktA	1AY0	COG0021	Transketolase		6
Amino acid transport and metabolismCoenzyme transport and metabolism	Isoleucine, leucine, valine biosynthesis	IlvB	1BFD	COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme		1
Nucleotide transport and metabolism	Purine biosynthesis	PurF	1ECB	COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase		1
Nucleotide transport and metabolism	Purine biosynthesis	PurE	1D7A	COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase		1
Translation, ribosomal structure and biogenesis	tRNA modification	DusA	1VHN	COG0042	tRNA-dihydrouridine synthase		1
Nucleotide transport and metabolism	Pyrimidine biosynthesis	AllB	1J79	COG0044	Dihydroorotase or related cyclic amidohydrolase		1
Nucleotide transport and metabolism	Purine biosynthesis	PurL1	3VIU	COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain		2
Translation, ribosomal structure and biogenesis	Ribosome 30S subunit	RpsL	4V4H	COG0048	Ribosomal protein S12		3
Translation, ribosomal structure and biogenesis	Ribosome 30S subunit	RpsG	4V4H	COG0049	Ribosomal protein S7		3
Translation, ribosomal structure and biogenesis	Translation factors	TufA	1EFU	COG0050	Translation elongation factor EF-Tu, a GTPase		4
Translation, ribosomal structure and biogenesis	Ribosome 30S subunit	RpsJ	4V4H	COG0051	Ribosomal protein S10		2
Translation, ribosomal structure and biogenesis	Ribosome 30S subunit	RpsB	4V4H	COG0052	Ribosomal protein S2		2
Energy production and conversion	FoF1-type ATP synthase	AtpD	3OAA	COG0055	FoF1-type ATP synthase, beta subunit		2
Energy production and conversion	FoF1-type ATP synthase	AtpA	3OAA	COG0056	FoF1-type ATP synthase, alpha subunit		1
Carbohydrate transport and metabolism	Glycolysis	GapA	3ZDF	COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase		5
