L1	ID	Function	EC	UNIPROT ID	Count
Virus protein with function beneficial for the host	VOG00260	Guanylate kinase		KGUA_HUMAN	14
Virus protein with function beneficial for the host	VOG00420	Bleomycin hydrolase		BLMH_RAT	2
Virus protein with function beneficial for the host	VOG00580	RNA polymerase sigma factor RpoD		RPOD_ECOLI	76
Function unknown	VOG01324	Terminase large subunit			39
Virus protein with function beneficial for the host | Virus replication	VOG01469	DNA polymerase III subunit alpha		DPO3A_THEAQ	29
Function unknown	VOG01904	Helix-turn-helix domain-containing protein			1
Virus protein with function beneficial for the host	VOG02491	ATP-dependent Clp protease proteolytic subunit 1		CLPP1_PROMT	2
Virus replication	VOG02518	Thymidylate synthase		TYSY_BPT4	49
Virus protein with function beneficial for the host	VOG03338	PhoH-like protein		PHOL_BACSU	24
Function unknown	VOG04683	Putative protein p41		VP41_BPAPS	5
Virus protein with function beneficial for the host	VOG04696	Putative zinc metalloproteinase R519		YR519_MIMIV	1
Virus protein with function beneficial for the host	VOG05612	Immunity protein		BIMM_BPT4	3
Function unknown	VOG06636	HicB-like antitoxin			5
Virus protein with function beneficial for the host	VOG06773	Phosphoribosylglycinamide formyltransferase		PUR3_STAAC	1
Virus protein with function beneficial for the host | Virus replication	VOG07106	Elongation factor Tu		EFTU_ALCBS	5
Function unknown	VOG08597	Transcriptional regulator			10
Virus protein with function beneficial for the host	VOG08722	RNA polymerase sigma-F factor		RPSF_BACLI	2
Function unknown	VOG09088	Putative terminase large subunit			12
Virus protein with function beneficial for the host	VOG09118	Cysteine--tRNA ligase, cytoplasmic		SYCC_DICDI	4
Virus protein with function beneficial for the host	VOG09123	GTP cyclohydrolase 1		GCH1_DESRM	4
Function unknown	VOG09269	Chloramphenicol acetyltransferase			19
Function unknown	VOG09760	Replication initiation protein			4
Function unknown	VOG10427	Hypothetical protein			23
Function unknown	VOG10449	Uncharacterized protein HI_1405		Y1405_HAEIN	2
Virus protein with function beneficial for the host	VOG11227	ABC transporter F family member 4		AB4F_ARATH	8
Virus protein with function beneficial for the host | Virus replication	VOG11241	Multifunctional CCA protein		CCA_SHEPA	3
Virus protein with function beneficial for the host	VOG11514	ComE operon protein 3		COMEC_BACSU	6
Virus protein with function beneficial for the host	VOG12011	DNA topoisomerase 2-alpha		TOP2A_CRIGR	35
Virus protein with function beneficial for the host	VOG12234	Serine hydroxymethyltransferase		GLYA_NITSB	51
Virus protein with function beneficial for the host	VOG13448	ATP-dependent zinc metalloprotease FTSH 1, chloroplastic		FTSH1_ORYSJ	26
Function unknown	VOG13817	UPF0335 protein Avi_3695		Y3695_ALLAM	16
Function unknown	VOG13845	Tail length tape measure protein			17
Function unknown	VOG14074	DnaJ-like protein R260		YR260_MIMIV	24
Virus protein with function beneficial for the host	VOG14634	Chromosome partitioning protein ParA		PARA_CAUVN	13
Virus protein with function beneficial for the host	VOG14640	34.2 kDa protein in rubredoxin operon		R34K_CLOPA	24
Virus protein with function beneficial for the host | Virus replication	VOG15191	Thymidine kinase		KITH_BPT4	8
Virus protein with function beneficial for the host | Virus replication	VOG15635	DNA polymerase		DPOL_BPMD2	1
Virus protein with function beneficial for the host | Virus replication	VOG15968	Probable flavin-dependent thymidylate synthase		THYX_BPML5	4
Virus protein with function beneficial for the host	VOG16479	UDP-galactopyranose mutase		GLF_MYCTU	1
Virus protein with function beneficial for the host	VOG17365	Ribonucleoside-diphosphate reductase subunit beta		RIR2_BACSU	25
Virus protein with function beneficial for the host	VOG17654	Glucose-1-phosphate thymidylyltransferase		RMLA_YEREN	53
Virus protein with function beneficial for the host	VOG18316	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating		6PGD_HALVD	2
Virus protein with function beneficial for the host	VOG18561	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A		ERF3A_HUMAN	5
Virus protein with function beneficial for the host	VOG18566	DTDP-4-dehydrorhamnose 3,5-epimerase		RMLC_METTH	15
Function unknown	VOG18639	Threonylcarbamoyl AMP synthase			1
Virus protein with function beneficial for the host	VOG19014	Putative helicase 184R		VF184_IIV6	11
Function unknown	VOG19709	Acetyltransferase			5
Function unknown	VOG19830	Mu-like prophage FluMu F protein		VPF_HAEIN	1
