ID	Function	Clan	Gene	Count
PF00004	ATPase family associated with various cellular activities (AAA)	CL0023	AAA	7
PF00005	ABC transporter	CL0023	ABC_tran	6
PF00006	ATP synthase alpha/beta family, nucleotide-binding domain	CL0023	ATP-synt_ab	85
PF00009	Elongation factor Tu GTP binding domain	CL0023	GTP_EFTU	480
PF00012	Hsp70 protein	CL0108	HSP70	834
PF00016	Ribulose bisphosphate carboxylase large chain, catalytic domain	CL0036	RuBisCO_large	1
PF00044	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	CL0063	Gp_dh_N	54
PF00046	Homeodomain	CL0123	Homeodomain	2
PF00056	lactate/malate dehydrogenase, NAD binding domain	CL0063	Ldh_1_N	8
PF00069	Protein kinase domain	CL0016	Pkinase	33
PF00081	Iron/manganese superoxide dismutases, alpha-hairpin domain		Sod_Fe_N	25
PF00091	Tubulin/FtsZ family, GTPase domain	CL0063	Tubulin	41
PF00108	Thiolase, N-terminal domain	CL0046	Thiolase_N	65
PF00109	Beta-ketoacyl synthase, N-terminal domain	CL0046	ketoacyl-synt	2
PF00113	Enolase, C-terminal TIM barrel domain	CL0036	Enolase_C	297
PF00117	Glutamine amidotransferase class-I	CL0014	GATase	32
PF00120	Glutamine synthetase, catalytic domain	CL0286	Gln-synt_C	355
PF00121	Triosephosphate isomerase	CL0036	TIM	167
PF00122	E1-E2 ATPase		E1-E2_ATPase	80
PF00128	Alpha amylase, catalytic domain	CL0036	Alpha-amylase	131
PF00133	tRNA synthetases class I (I, L, M and V)	CL0039	tRNA-synt_1	322
PF00140	Sigma-70 factor, region 1.2		Sigma70_r1_2	58
PF00152	tRNA synthetases class II (D, K and N) 	CL0040	tRNA-synt_2	319
PF00154	recA bacterial DNA recombination protein	CL0023	RecA	523
PF00158	Sigma-54 interaction domain	CL0023	Sigma54_activat	114
PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	CL0475	Pro_isomerase	81
PF00162	Phosphoglycerate kinase		PGK	263
PF00163	Ribosomal protein S4/S9 N-terminal domain	CL0492	Ribosomal_S4	13
PF00164	Ribosomal protein S12/S23	CL0021	Ribosom_S12_S23	126
PF00166	Chaperonin 10 Kd subunit	CL0296	Cpn10	3
PF00177	Ribosomal protein S7p/S5e		Ribosomal_S7	314
PF00180	Isocitrate/isopropylmalate dehydrogenase	CL0270	Iso_dh	1
PF00181	Ribosomal Proteins L2, RNA binding domain	CL0021	Ribosomal_L2	145
PF00186	Dihydrofolate reductase	CL0387	DHFR_1	60
PF00189	Ribosomal protein S3, C-terminal domain		Ribosomal_S3_C	157
PF00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	CL0149	2-oxoacid_dh	84
PF00203	Ribosomal protein S19		Ribosomal_S19	106
PF00204	DNA gyrase B	CL0329	DNA_gyraseB	203
PF00206	Lyase		Lyase_1	29
PF00216	Bacterial DNA-binding protein	CL0548	Bac_DNA_binding	39
PF00224	Pyruvate kinase, barrel domain	CL0036	PK	364
PF00226	DnaJ domain	CL0392	DnaJ	92
PF00231	ATP synthase		ATP-synt	86
PF00232	Glycosyl hydrolase family 1	CL0036	Glyco_hydro_1	584
PF00233	3'5'-cyclic nucleotide phosphodiesterase	CL0237	PDEase_I	1
PF00237	Ribosomal protein L22p/L17e		Ribosomal_L22	171
PF00238	Ribosomal protein L14p/L23e		Ribosomal_L14	135
PF00248	Aldo/keto reductase family	CL0036	Aldo_ket_red	8
PF00252	Ribosomal protein L16p/L10e	CL0021	Ribosomal_L16	196
PF00253	Ribosomal protein S14p/S29e		Ribosomal_S14	6
PF00266	Aminotransferase class-V	CL0061	Aminotran_5	378
PF00268	Ribonucleotide reductase, small chain	CL0044	Ribonuc_red_sm	13
PF00270	DEAD/DEAH box helicase	CL0023	DEAD	13
PF00271	Helicase conserved C-terminal domain	CL0023	Helicase_C	53
PF00276	Ribosomal protein L23		Ribosomal_L23	67
PF00281	Ribosomal protein L5	CL0652	Ribosomal_L5	60
PF00289	Biotin carboxylase, N-terminal domain	CL0063	Biotin_carb_N	103
PF00298	Ribosomal protein L11, RNA binding domain		Ribosomal_L11	103
PF00303	Thymidylate synthase		Thymidylat_synt	349
PF00306	ATP synthase alpha/beta chain, C terminal domain		ATP-synt_ab_C	147
PF00308	Bacterial dnaA  protein	CL0023	Bac_DnaA	170
PF00310	Glutamine amidotransferases class-II	CL0052	GATase_2	6
PF00312	Ribosomal protein S15	CL0600	Ribosomal_S15	92
PF00313	'Cold-shock' DNA-binding domain	CL0021	CSD	105
PF00318	Ribosomal protein S2	CL0067	Ribosomal_S2	267
PF00327	Ribosomal protein L30p/L7e		Ribosomal_L30	47
PF00333	Ribosomal protein S5, N-terminal domain	CL0196	Ribosomal_S5	127
PF00338	Ribosomal protein S10p/S20e		Ribosomal_S10	106
PF00344	SecY	CL0376	SecY	90
PF00348	Polyprenyl synthetase	CL0613	polyprenyl_synt	31
PF00356	Bacterial regulatory proteins, lacI family	CL0123	LacI	93
PF00358	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1	CL0105	PTS_EIIA_1	757
PF00364	Biotin-requiring enzyme	CL0105	Biotin_lipoyl	11
PF00365	Phosphofructokinase	CL0240	PFK	230
PF00366	Ribosomal protein S17	CL0021	Ribosomal_S17	77
PF00367	phosphotransferase system, EIIB		PTS_EIIB	11
PF00368	Hydroxymethylglutaryl-coenzyme A reductase		HMG-CoA_red	85
PF00380	Ribosomal protein S9/S16	CL0329	Ribosomal_S9	94
PF00381	PTS HPr component phosphorylation site		PTS-HPr	49
PF00391	PEP-utilising enzyme, mobile domain	CL0364	PEP-utilizers	83
PF00392	Bacterial regulatory proteins, gntR family	CL0123	GntR	18
PF00393	6-phosphogluconate dehydrogenase, C-terminal domain	CL0106	6PGD	363
PF00406	Adenylate kinase	CL0023	ADK	77
PF00408	Phosphoglucomutase/phosphomannomutase, C-terminal domain		PGM_PMM_IV	9
PF00410	Ribosomal protein S8		Ribosomal_S8	117
PF00411	Ribosomal protein S11	CL0267	Ribosomal_S11	228
PF00413	Matrixin	CL0126	Peptidase_M10	1
PF00416	Ribosomal protein S13/S18	CL0303	Ribosomal_S13	54
PF00436	Single-strand binding protein family	CL0021	SSB	25
PF00437	Type II/IV secretion system protein	CL0023	T2SSE	35
PF00438	S-adenosylmethionine synthetase, N-terminal domain		S-AdoMet_synt_N	86
PF00444	Ribosomal protein L36		Ribosomal_L36	46
PF00448	SRP54-type protein, GTPase domain	CL0023	SRP54	211
PF00453	Ribosomal protein L20		Ribosomal_L20	133
PF00456	Transketolase, thiamine diphosphate binding domain	CL0254	Transketolase_N	433
PF00459	Inositol monophosphatase family	CL0171	Inositol_P	28
PF00464	Serine hydroxymethyltransferase	CL0061	SHMT	345
PF00465	Iron-containing alcohol dehydrogenase 	CL0224	Fe-ADH	247
PF00468	Ribosomal protein L34		Ribosomal_L34	9
PF00471	Ribosomal protein L33	CL0167	Ribosomal_L33	47
PF00472	RF-1 domain	CL0337	RF-1	166
PF00476	DNA polymerase family A		DNA_pol_A	386
PF00478	IMP dehydrogenase / GMP reductase domain	CL0036	IMPDH	533
PF00479	Glucose-6-phosphate dehydrogenase, NAD binding domain	CL0063	G6PD_N	21
PF00480	ROK family	CL0108	ROK	37
PF00483	Nucleotidyl transferase	CL0110	NTP_transferase	19
