ID	Function	Source	Count
2_3_DAP_am_ly	diaminopropionate ammonia-lyase	TIGR03528	1
3a0501s007	preprotein translocase subunit SecY	TIGR00967	1
Bac_Flav_CT_G	TraG family conjugative transposon ATPase	TIGR03783	3
Bac_Flav_CT_K	conjugative transposon protein TraK	TIGR03781	4
C69_fam_dipept	C69 family dipeptidase		3
CPSaseIIsmall	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	TIGR01368	1
CoA_E_activ	acyl-CoA dehydratase activase	TIGR00241	2
DAP-DH	diaminopimelate dehydrogenase	TIGR01921	1
D_pro_red_PrdA	D-proline reductase (dithiol) proprotein PrdA	TIGR04480	1
DnaB	DnaB-like helicase N-terminal domain-containing protein	PF00772.23	1
DnaB	replicative DNA helicase	TIGR00665	1
ECF_ATPase_1	energy-coupling factor transporter ATPase	TIGR04520	4
EF-G	elongation factor G	TIGR00484	2
EF-Tu	elongation factor Tu	TIGR00485	1
FGAM-synthase	phosphoribosylformylglycinamidine synthase	TIGR01857	5
FeFe_hydrog_B1	monomeric [FeFe] hydrogenase	TIGR04105	1
FeS_nifS	cysteine desulfurase NifS	TIGR03402	2
FtsH_fam	ATP-dependent zinc metalloprotease FtsH	TIGR01241	3
FtsX_Gpos	permease-like cell division protein FtsX		1
GPR	GPR endopeptidase	TIGR01441	1
GguB	sugar ABC transporter permease		3
HK_WalK	cell wall metabolism sensor histidine kinase WalK		1
HelD_BACSU	RNA polymerase recycling motor HelD		2
IF-2	Translation-initiation factor 2	PF11987.10	2
IF-2	translation initiation factor IF-2	TIGR00487	2
IMP_synth_hisH	imidazole glycerol phosphate synthase subunit HisH	TIGR01855	1
L6_bact	50S ribosomal protein L6	TIGR03654	2
Lon_rel_chp	protease Lon-related BREX system protein BrxL	TIGR02653	1
MGSA	methylglyoxal synthase	TIGR00160	2
MltB	lytic murein transglycosylase B	TIGR02282	1
MobT	MobT family relaxase		2
MrpORP	iron-sulfur cluster carrier protein MrpORP		2
NusA	transcription termination factor NusA	TIGR01953	1
OAH_OAS_sulfhy	O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase	TIGR01326	1
PFK_mixed	phosphofructokinase	TIGR02483	1
PRK00011.1	serine hydroxymethyltransferase	PRK00011	1
PRK00013.1	chaperonin GroEL	PRK00013	2
PRK00024.1	DNA repair protein RadC	PRK00024	1
PRK00026.1	tRNA (guanosine(37)-N1)-methyltransferase TrmD	PRK00026	1
PRK00049.1	elongation factor Tu	PRK00049	1
PRK00087.1	bifunctional 4-hydroxy-3-methylbut-2-enyl diphosphate reductase/30S ribosomal protein S1	PRK00087	1
PRK00104.1-3	segregation/condensation protein A	PRK00104	1
PRK00106.1	ribonuclease Y	PRK00106	1
PRK00129.1	uracil phosphoribosyltransferase	PRK00129	1
PRK00147.1	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	PRK00147	1
PRK00197.1	glutamate-5-semialdehyde dehydrogenase	PRK00197	2
PRK00278.2-4	indole-3-glycerol phosphate synthase TrpC	PRK00278	4
PRK00281.1-5	undecaprenyl-diphosphate phosphatase	PRK00281	2
PRK00290.1	molecular chaperone DnaK	PRK00290	1
PRK00393.1	GTP cyclohydrolase II RibA	PRK00393	1
PRK00402.1	aconitase/3-isopropylmalate dehydratase large subunit family protein	PRK00402	1
PRK00405.1	DNA-directed RNA polymerase subunit beta	PRK00405	1
PRK00448.1	PolC-type DNA polymerase III	PRK00448	3
PRK00601.1	dUTP diphosphatase	PRK00601	1
PRK00711.1	D-amino acid dehydrogenase	PRK00711	1
PRK00856.1	aspartate carbamoyltransferase catalytic subunit	PRK00856	1
PRK00911.1	dihydroxy-acid dehydratase	PRK00911	1
PRK01130.1	putative N-acetylmannosamine-6-phosphate 2-epimerase	PRK01130	1
PRK02256.1	aminopeptidase	PRK02256	1
PRK02304.1-2	adenine phosphoribosyltransferase	PRK02304	1
PRK03932.1	asparagine--tRNA ligase	PRK03932	5
PRK04173.1	glycine--tRNA ligase	PRK04173	2
PRK04196.1	V-type ATP synthase subunit B	PRK04196	1
PRK05182.2-1	DNA-directed RNA polymerase subunit alpha	PRK05182	1
PRK05185.1	50S ribosomal protein L20	PRK05185	1
PRK05290.1	hydroxylamine reductase	PRK05290	2
PRK05294.1	carbamoyl-phosphate synthase large subunit	PRK05294	3
PRK05298.1	excinuclease ABC subunit UvrB	PRK05298	2
PRK05313.1	hypothetical protein	PRK05313	2
PRK05342.1	ATP-dependent Clp protease ATP-binding subunit ClpX	PRK05342	1
PRK05355.1	3-phosphoserine/phosphohydroxythreonine transaminase	PRK05355	1
PRK05402.1	1,4-alpha-glucan branching protein GlgB	PRK05402	3
PRK05420.1	aquaporin Z	PRK05420	1
PRK05469.1	tripeptide aminopeptidase PepT	PRK05469	1
PRK05477.1-4	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	PRK05477	1
PRK05580.1-3	primosomal protein N'	PRK05580	1
PRK05580.1-5	primosomal protein N'	PRK05580	2
PRK05644.1	DNA gyrase subunit B	PRK05644	1
PRK05673.1	DNA polymerase III subunit alpha	PRK05673	2
PRK05729.1	valine--tRNA ligase	PRK05729	4
PRK05748.1	replicative DNA helicase	PRK05748	1
PRK06019.1-1	5-(carboxyamino)imidazole ribonucleotide synthase	PRK06019	1
PRK06084.1	bifunctional O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase	PRK06084	1
PRK06349.1	homoserine dehydrogenase	PRK06349	1
PRK06411.1	NADH-quinone oxidoreductase subunit NuoB	PRK06411	2
PRK06596.1	RNA polymerase factor sigma-32	PRK06596	1
PRK06854.1-2	adenylyl-sulfate reductase subunit alpha	PRK06854	1
PRK07006.1	NADP-dependent isocitrate dehydrogenase	PRK07006	2
PRK07107.1	IMP dehydrogenase	PRK07107	2
PRK07314.1	beta-ketoacyl-ACP synthase II	PRK07314	1
PRK07375.1-3	putative monovalent cation/H+ antiporter subunit C	PRK07375	2
PRK07726.1	DNA topoisomerase 3	PRK07726	2
PRK07956.1	NAD-dependent DNA ligase LigA	PRK07956	1
PRK07985.1	SDR family oxidoreductase	PRK07985	2
PRK08117.1	aspartate aminotransferase family protein	PRK08117	1
PRK08230.1	L(+)-tartrate dehydratase subunit alpha	PRK08230	2
PRK08591.1	acetyl-CoA carboxylase biotin carboxylase subunit	PRK08591	1
PRK08618.1	ornithine cyclodeaminase family protein	PRK08618	1
PRK08673.1	3-deoxy-7-phosphoheptulonate synthase	PRK08673	2
PRK08780.1	DNA topoisomerase I	PRK08780	1
PRK09034.1	aspartate kinase	PRK09034	1
PRK09165.1	replicative DNA helicase	PRK09165	1
PRK09219.1	xanthine phosphoribosyltransferase	PRK09219	2
PRK09243.1-5	nicotinate phosphoribosyltransferase	PRK09243	2
PRK09284.1	phosphomethylpyrimidine synthase ThiC	PRK09284	2
PRK09344.1-1	phosphoenolpyruvate carboxykinase	PRK09344	2
PRK09362.1-3	phosphoribosylaminoimidazolesuccinocarboxamide synthase	PRK09362	1
