L1	ID	Function	EC	Count
other	phrog_10912	kinase		1
other	phrog_11787	DNA methyltransferase		1
unknown function	phrog_11956	hypothetical		4
other	phrog_12316	ATPase		2
unknown function	phrog_12787	hypothetical		1
moron, auxiliary metabolic gene and host takeover	phrog_13700	FtsK/SpoIIIE-like protein		2
DNA, RNA and nucleotide metabolism	phrog_13933	nuclease		2
unknown function	phrog_14842	hypothetical		1
unknown function	phrog_15585	hypothetical		2
unknown function	phrog_15614	hypothetical		1
unknown function	phrog_1569	hypothetical		2
unknown function	phrog_16140	hypothetical		2
DNA, RNA and nucleotide metabolism	phrog_164	ParA-like partition protein		2
unknown function	phrog_16655	hypothetical		1
DNA, RNA and nucleotide metabolism	phrog_19	DnaB-like replicative helicase		1
DNA, RNA and nucleotide metabolism	phrog_19169	endonuclease		2
unknown function	phrog_19918	hypothetical		3
unknown function	phrog_20109	hypothetical		1
unknown function	phrog_21110	hypothetical		1
other	phrog_2197	GTP cyclohydrolase		1
unknown function	phrog_22485	hypothetical		2
integration and excision	phrog_2331	transposase		5
other	phrog_2361	serine-threonine kinase		1
moron, auxiliary metabolic gene and host takeover	phrog_2392	ABC transporter		7
unknown function	phrog_24349	hypothetical		12
unknown function	phrog_25354	hypothetical		3
unknown function	phrog_27849	hypothetical		5
unknown function	phrog_28307	hypothetical		1
unknown function	phrog_28378	hypothetical		1
moron, auxiliary metabolic gene and host takeover	phrog_293	ABC transporter		4
unknown function	phrog_29784	hypothetical		1
unknown function	phrog_30090	hypothetical		1
unknown function	phrog_30773	hypothetical		3
unknown function	phrog_31529	hypothetical		1
unknown function	phrog_34724	hypothetical		1
unknown function	phrog_35063	hypothetical		3
lysis	phrog_3513	endolysin		1
unknown function	phrog_35435	hypothetical		1
unknown function	phrog_3736	hypothetical		1
unknown function	phrog_37682	hypothetical		1
unknown function	phrog_37857	hypothetical		1
unknown function	phrog_3830	hypothetical		1
DNA, RNA and nucleotide metabolism	phrog_3869	NAD-dependent DNA ligase		1
unknown function	phrog_3980	hypothetical		1
DNA, RNA and nucleotide metabolism	phrog_405	DNA polymerase		2
unknown function	phrog_4212	hypothetical		1
DNA, RNA and nucleotide metabolism	phrog_44	single strand DNA binding protein		2
other	phrog_4871	ATP-dependent protease		4
DNA, RNA and nucleotide metabolism	phrog_5846	clamp loader of DNA polymerase		2
other	phrog_67	DNA methyltransferase		1
other	phrog_6880	translation elongation factor		1
DNA, RNA and nucleotide metabolism	phrog_695	DNA polymerase/primase		2
unknown function	phrog_731	hypothetical		2
DNA, RNA and nucleotide metabolism	phrog_7909	ribonucleoside-diphosphate reductase beta subunit		1
unknown function	phrog_8439	hypothetical		2
unknown function	phrog_8598	hypothetical		2
head and packaging	phrog_94	head maturation protease		1
DNA, RNA and nucleotide metabolism	phrog_9465	ribonucleoside diphosphate reductase small subunit		1
other	phrog_9582	dehydrogenase		1
head and packaging	phrog_985	virion structural protein		1
other	phrog_9896	phosphofructokinase		1
