ID	Function	Clan	Gene	Count
PF00005	ABC transporter	CL0023	ABC_tran	1
PF00006	ATP synthase alpha/beta family, nucleotide-binding domain	CL0023	ATP-synt_ab	3
PF00009	Elongation factor Tu GTP binding domain	CL0023	GTP_EFTU	32
PF00012	Hsp70 protein	CL0108	HSP70	52
PF00033	Cytochrome b/b6/petB	CL0328	Cytochrome_B	1
PF00044	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	CL0063	Gp_dh_N	2
PF00046	Homeodomain	CL0123	Homeodomain	1
PF00069	Protein kinase domain	CL0016	Pkinase	1
PF00081	Iron/manganese superoxide dismutases, alpha-hairpin domain		Sod_Fe_N	1
PF00108	Thiolase, N-terminal domain	CL0046	Thiolase_N	2
PF00113	Enolase, C-terminal TIM barrel domain	CL0036	Enolase_C	8
PF00117	Glutamine amidotransferase class-I	CL0014	GATase	2
PF00120	Glutamine synthetase, catalytic domain	CL0286	Gln-synt_C	16
PF00121	Triosephosphate isomerase	CL0036	TIM	6
PF00122	E1-E2 ATPase		E1-E2_ATPase	10
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family	CL0123	HTH_1	1
PF00128	Alpha amylase, catalytic domain	CL0036	Alpha-amylase	8
PF00133	tRNA synthetases class I (I, L, M and V)	CL0039	tRNA-synt_1	21
PF00140	Sigma-70 factor, region 1.2		Sigma70_r1_2	5
PF00152	tRNA synthetases class II (D, K and N) 	CL0040	tRNA-synt_2	18
PF00154	recA bacterial DNA recombination protein	CL0023	RecA	32
PF00158	Sigma-54 interaction domain	CL0023	Sigma54_activat	4
PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	CL0475	Pro_isomerase	7
PF00162	Phosphoglycerate kinase		PGK	17
PF00164	Ribosomal protein S12/S23	CL0021	Ribosom_S12_S23	6
PF00171	Aldehyde dehydrogenase family	CL0099	Aldedh	2
PF00177	Ribosomal protein S7p/S5e		Ribosomal_S7	16
PF00180	Isocitrate/isopropylmalate dehydrogenase	CL0270	Iso_dh	1
PF00181	Ribosomal Proteins L2, RNA binding domain	CL0021	Ribosomal_L2	4
PF00186	Dihydrofolate reductase	CL0387	DHFR_1	5
PF00189	Ribosomal protein S3, C-terminal domain		Ribosomal_S3_C	8
PF00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	CL0149	2-oxoacid_dh	10
PF00199	Catalase		Catalase	2
PF00203	Ribosomal protein S19		Ribosomal_S19	1
PF00204	DNA gyrase B	CL0329	DNA_gyraseB	9
PF00216	Bacterial DNA-binding protein	CL0548	Bac_DNA_binding	1
PF00224	Pyruvate kinase, barrel domain	CL0036	PK	22
PF00226	DnaJ domain	CL0392	DnaJ	9
PF00231	ATP synthase		ATP-synt	3
PF00232	Glycosyl hydrolase family 1	CL0036	Glyco_hydro_1	31
PF00233	3'5'-cyclic nucleotide phosphodiesterase	CL0237	PDEase_I	6
PF00237	Ribosomal protein L22p/L17e		Ribosomal_L22	4
PF00238	Ribosomal protein L14p/L23e		Ribosomal_L14	6
PF00252	Ribosomal protein L16p/L10e	CL0021	Ribosomal_L16	7
PF00266	Aminotransferase class-V	CL0061	Aminotran_5	22
PF00270	DEAD/DEAH box helicase	CL0023	DEAD	3
PF00271	Helicase conserved C-terminal domain	CL0023	Helicase_C	1
PF00281	Ribosomal protein L5	CL0652	Ribosomal_L5	2
PF00285	Citrate synthase, C-terminal domain		Citrate_synt	1
PF00289	Biotin carboxylase, N-terminal domain	CL0063	Biotin_carb_N	7
PF00298	Ribosomal protein L11, RNA binding domain		Ribosomal_L11	9
PF00303	Thymidylate synthase		Thymidylat_synt	14
PF00306	ATP synthase alpha/beta chain, C terminal domain		ATP-synt_ab_C	7
PF00308	Bacterial dnaA  protein	CL0023	Bac_DnaA	9
PF00312	Ribosomal protein S15	CL0600	Ribosomal_S15	7
