ID	Function	Gene	Count
TIGR00002	ribosomal protein bS16	rpsP	7
TIGR00005	pseudouridine synthase, RluA family		6
TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase	rsmH	11
TIGR00008	translation initiation factor IF-1	infA	7
TIGR00010	hydrolase, TatD family		4
TIGR00011	Cys-tRNA(Pro) deacylase	ybaK	5
TIGR00012	ribosomal protein uL29	rpmC	3
TIGR00016	acetate kinase	ackA	10
TIGR00017	cytidylate kinase	cmk	6
TIGR00019	peptide chain release factor 1	prfA	25
TIGR00020	peptide chain release factor 2	prfB	19
TIGR00021	ribose 5-phosphate isomerase A	rpiA	8
TIGR00030	ribosomal protein bS21	rpsU	1
TIGR00042	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family	rdgB	1
TIGR00043	rRNA maturation RNase YbeY	ybeY	3
TIGR00045	glycerate kinase		2
TIGR00048	23S rRNA (adenine(2503)-C(2))-methyltransferase	rlmN	2
TIGR00054	RIP metalloprotease RseP	rseP	4
TIGR00055	di-trans,poly-cis-decaprenylcistransferase	uppS	8
TIGR00057	tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family		1
TIGR00059	ribosomal protein bL17	rplQ	2
TIGR00060	ribosomal protein uL18	rplR	6
TIGR00062	ribosomal protein bL27	rpmA	4
TIGR00064	signal recognition particle-docking protein FtsY	ftsY	15
TIGR00065	cell division protein FtsZ	ftsZ	16
TIGR00067	glutamate racemase	murI	3
TIGR00069	histidinol dehydrogenase	hisD	1
TIGR00078	nicotinate-nucleotide diphosphorylase (carboxylating)	nadC	16
TIGR00079	peptide deformylase	def	1
TIGR00081	phosphoribosylaminoimidazolesuccinocarboxamide synthase	purC	3
TIGR00086	SsrA-binding protein	smpB	6
TIGR00088	tRNA (guanine(37)-N(1))-methyltransferase	trmD	8
TIGR00090	ribosome silencing factor	rsfS	1
TIGR00091	tRNA (guanine-N(7)-)-methyltransferase	trmB	3
TIGR00092	GTP-binding protein YchF	ychF	15
TIGR00096	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI	3
TIGR00097	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	thiD	11
TIGR00099	Cof-like hydrolase		7
TIGR00101	urease accessory protein UreG	ureG	2
TIGR00107	purine nucleoside phosphorylase	deoD	10
TIGR00110	dihydroxy-acid dehydratase	ilvD	1
TIGR00113	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	queA	24
TIGR00115	trigger factor	tig	2
TIGR00116	translation elongation factor Ts	tsf	7
TIGR00117	aconitate hydratase 2	acnB	1
TIGR00126	deoxyribose-phosphate aldolase	deoC	2
TIGR00131	galactokinase	galK	1
TIGR00132	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit	gatA	25
TIGR00133	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit	gatB	7
TIGR00136	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA	gidA	70
TIGR00137	tRNA:m(5)U-54 methyltransferase	trmFO	32
TIGR00138	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG	4
TIGR00147	lipid kinase, YegS/Rv2252/BmrU family		2
TIGR00159	TIGR00159 family protein		12
TIGR00160	methylglyoxal synthase	mgsA	11
TIGR00168	translation initiation factor IF-3	infC	14
TIGR00170	3-isopropylmalate dehydratase, large subunit	leuC	2
TIGR00171	3-isopropylmalate dehydratase, small subunit	leuD	1
TIGR00174	tRNA dimethylallyltransferase	miaA	5
TIGR00180	ParB/RepB/Spo0J family partition protein		1
TIGR00181	oligoendopeptidase F	pepF	18
TIGR00182	fatty acid/phospholipid synthesis protein PlsX	plsX	2
TIGR00184	adenylosuccinate synthase	purA	37
TIGR00185	tRNA (cytidine(34)-2'-O)-methyltransferase	trmL	5
TIGR00186	RNA methyltransferase, TrmH family, group 3		5
TIGR00194	excinuclease ABC subunit C	uvrC	7
TIGR00198	catalase/peroxidase HPI	katG	1
TIGR00200	competence/damage-inducible protein CinA N-terminal domain		3
TIGR00211	glycine--tRNA ligase, beta subunit	glyS	7
TIGR00225	C-terminal processing peptidase		2
TIGR00232	transketolase	tkt	38
TIGR00233	tryptophan--tRNA ligase	trpS	2
TIGR00234	tyrosine--tRNA ligase	tyrS	11
TIGR00235	uridine kinase	udk	8
TIGR00236	UDP-N-acetylglucosamine 2-epimerase		17
TIGR00237	exodeoxyribonuclease VII, large subunit	xseA	26
TIGR00244	transcriptional regulator NrdR	nrdR	10
TIGR00245	TIGR00245 family protein		1
TIGR00256	D-tyrosyl-tRNA(Tyr) deacylase	dtd	5
TIGR00257	uncharacterized protein, YigZ family		7
TIGR00274	N-acetylmuramic acid 6-phosphate etherase	murQ	24
TIGR00278	putative membrane protein insertion efficiency factor	yidD	4
TIGR00282	metallophosphoesterase, MG_246/BB_0505 family		10
TIGR00331	heat-inducible transcription repressor HrcA	hrcA	6
TIGR00334	ribonuclease M5	rnmV	7
TIGR00336	orotate phosphoribosyltransferase	pyrE	3
TIGR00337	CTP synthase	pyrG	32
TIGR00342	tRNA sulfurtransferase ThiI	thiI	6
TIGR00344	alanine--tRNA ligase	alaS	18
