L1	L2	L3	ID	Function	EC	Gene	Count
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K00003	Homoserine dehydrogenase	1.1.1.3	hom	1
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K00003	Homoserine dehydrogenase	1.1.1.3	hom	1
Metabolism	Amino acid metabolism	Lysine biosynthesis [PATH:ko00300]	K00003	Homoserine dehydrogenase	1.1.1.3	hom	1
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00005	Glycerol dehydrogenase	1.1.1.6	gldA	2
Metabolism	Lipid metabolism	Glycerolipid metabolism [PATH:ko00561]	K00005	Glycerol dehydrogenase	1.1.1.6	gldA	2
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:ko00040]	K00012	UDPglucose 6-dehydrogenase	1.1.1.22	UGDH, ugd	1
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:ko00053]	K00012	UDPglucose 6-dehydrogenase	1.1.1.22	UGDH, ugd	1
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K00012	UDPglucose 6-dehydrogenase	1.1.1.22	UGDH, ugd	1
Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	K00012	UDPglucose 6-dehydrogenase	1.1.1.22	UGDH, ugd	1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	8
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	8
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	8
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	8
Environmental Information Processing	Signal transduction	HIF-1 signaling pathway [PATH:ko04066]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	8
Organismal Systems	Endocrine system	Glucagon signaling pathway [PATH:ko04922]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	8
Human Diseases	Cancer: overview	Central carbon metabolism in cancer [PATH:ko05230]	K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh	8
