L1	ID	Function	EC	Count
integration and excision	phrog_1	integrase		16
DNA, RNA and nucleotide metabolism	phrog_10276	DNA repair protein		7
moron, auxiliary metabolic gene and host takeover	phrog_1039	immunity to superinfection		1
unknown function	phrog_10430	hypothetical		33
DNA, RNA and nucleotide metabolism	phrog_10616	ribonucleotide reductase		1
unknown function	phrog_10724	hypothetical		4
other	phrog_10912	kinase		11
unknown function	phrog_10948	hypothetical		1
moron, auxiliary metabolic gene and host takeover	phrog_1112	phosphoribosylaminoimidazole-succinocarboxamide synthase		16
DNA, RNA and nucleotide metabolism	phrog_11145	DNA binding protein		16
unknown function	phrog_11199	hypothetical		5
unknown function	phrog_11208	hypothetical		3
unknown function	phrog_11383	hypothetical		5
unknown function	phrog_11396	hypothetical		176
head and packaging	phrog_115	minor head protein		22
unknown function	phrog_11530	hypothetical		12
unknown function	phrog_11626	hypothetical		3
other	phrog_11787	DNA methyltransferase		55
unknown function	phrog_11857	hypothetical		87
unknown function	phrog_11956	hypothetical		150
unknown function	phrog_1202	hypothetical		16
unknown function	phrog_12033	hypothetical		63
moron, auxiliary metabolic gene and host takeover	phrog_1207	phosphoribosylaminoimidazole synthetase		14
unknown function	phrog_1209	hypothetical		18
DNA, RNA and nucleotide metabolism	phrog_1211	2-aminooxy adenylosuccinate synthetase		38
head and packaging	phrog_12171	terminase		7
unknown function	phrog_12197	hypothetical		1
DNA, RNA and nucleotide metabolism	phrog_1227	exonuclease		28
other	phrog_12316	ATPase		186
DNA, RNA and nucleotide metabolism	phrog_125	DNA invertase		63
DNA, RNA and nucleotide metabolism	phrog_1252	DNA polymerase		10
unknown function	phrog_12710	hypothetical		272
unknown function	phrog_12787	hypothetical		37
transcription regulation	phrog_129	transcriptional regulator		1
transcription regulation	phrog_130	anti-repressor Ant		36
other	phrog_1319	dehydrogenase		1
unknown function	phrog_13226	hypothetical		17
unknown function	phrog_134	hypothetical		8
DNA, RNA and nucleotide metabolism	phrog_135	dUTPase		1
moron, auxiliary metabolic gene and host takeover	phrog_1358	FtsK/SpoIIIE-like protein		9
unknown function	phrog_1366	hypothetical		3
moron, auxiliary metabolic gene and host takeover	phrog_13700	FtsK/SpoIIIE-like protein		12
unknown function	phrog_13807	hypothetical		55
DNA, RNA and nucleotide metabolism	phrog_13933	nuclease		68
unknown function	phrog_14241	hypothetical		13
unknown function	phrog_14336	hypothetical		47
DNA, RNA and nucleotide metabolism	phrog_14344	nucleotidyltransferase		1
unknown function	phrog_14727	hypothetical		2
unknown function	phrog_14943	hypothetical		1
unknown function	phrog_15585	hypothetical		15
unknown function	phrog_15614	hypothetical		33
unknown function	phrog_15632	hypothetical		2
unknown function	phrog_15639	hypothetical		9
unknown function	phrog_1569	hypothetical		75
transcription regulation	phrog_15968	anti-repressor		109
unknown function	phrog_15996	hypothetical		12
DNA, RNA and nucleotide metabolism	phrog_160	thymidylate synthase		28
unknown function	phrog_16087	hypothetical		55
unknown function	phrog_16140	hypothetical		277
DNA, RNA and nucleotide metabolism	phrog_164	ParA-like partition protein		14
DNA, RNA and nucleotide metabolism	phrog_1663	dCTP deaminase		3
unknown function	phrog_16655	hypothetical		103
unknown function	phrog_16693	hypothetical		3
unknown function	phrog_16694	hypothetical		6
tail	phrog_167	tail length tape measure protein		29
unknown function	phrog_16797	hypothetical		52
tail	phrog_1686	tail length tape measure protein		40
other	phrog_170	PhoH-like phosphate starvation-inducible		15
unknown function	phrog_17128	hypothetical		14
DNA, RNA and nucleotide metabolism	phrog_174	dCMP deaminase		4
moron, auxiliary metabolic gene and host takeover	phrog_1741	QueC-like queuosine biosynthesis		41
unknown function	phrog_18394	hypothetical		97
unknown function	phrog_18628	hypothetical		39
unknown function	phrog_1876	hypothetical		5
unknown function	phrog_18916	hypothetical		95
DNA, RNA and nucleotide metabolism	phrog_19169	endonuclease		2
unknown function	phrog_19271	hypothetical		44
unknown function	phrog_19422	hypothetical		10
unknown function	phrog_19499	hypothetical		2
unknown function	phrog_19509	hypothetical		50
unknown function	phrog_19526	hypothetical		24
DNA, RNA and nucleotide metabolism	phrog_1967	DNA helicase		7
unknown function	phrog_1977	hypothetical		2
unknown function	phrog_19793	hypothetical		49
unknown function	phrog_19918	hypothetical		182
unknown function	phrog_19980	hypothetical		62
unknown function	phrog_20109	hypothetical		11
unknown function	phrog_20149	hypothetical		3
DNA, RNA and nucleotide metabolism	phrog_20354	DNA topoisomerase II		11
other	phrog_20590	peptidase		13
unknown function	phrog_21110	hypothetical		98
unknown function	phrog_21263	hypothetical		233
unknown function	phrog_21327	hypothetical		32
moron, auxiliary metabolic gene and host takeover	phrog_21469	ribosomal protein S21		2
unknown function	phrog_21628	hypothetical		46
unknown function	phrog_21787	hypothetical		3
unknown function	phrog_21942	hypothetical		102
other	phrog_2197	GTP cyclohydrolase		4
unknown function	phrog_21998	hypothetical		1
head and packaging	phrog_220	minor head protein and DNA pilot		1
unknown function	phrog_22245	hypothetical		3
head and packaging	phrog_2229	head maturation protease		6
DNA, RNA and nucleotide metabolism	phrog_2244	tRNA nucleotidyltransferase		3
unknown function	phrog_22485	hypothetical		107
unknown function	phrog_2277	hypothetical		11
unknown function	phrog_23041	hypothetical		10
DNA, RNA and nucleotide metabolism	phrog_23447	replication initiation protein		5
other	phrog_2361	serine-threonine kinase		7
unknown function	phrog_23859	hypothetical		2
moron, auxiliary metabolic gene and host takeover	phrog_2392	ABC transporter		486
unknown function	phrog_23947	hypothetical		129
unknown function	phrog_24316	hypothetical		30
unknown function	phrog_24349	hypothetical		538
unknown function	phrog_24437	hypothetical		2
unknown function	phrog_24466	hypothetical		34
DNA, RNA and nucleotide metabolism	phrog_24856	ribonucleotide reductase class Ia beta subunit		5
unknown function	phrog_24931	hypothetical		8
unknown function	phrog_25097	hypothetical		113
DNA, RNA and nucleotide metabolism	phrog_252	Bet-like ssDNA annealing protein		7
unknown function	phrog_25354	hypothetical		525
unknown function	phrog_25370	hypothetical		22
unknown function	phrog_25828	hypothetical		46
unknown function	phrog_26214	hypothetical		180
DNA, RNA and nucleotide metabolism	phrog_26484	DNA binding protein		4
unknown function	phrog_26606	hypothetical		22
other	phrog_26699	DNA methyltransferase		10
unknown function	phrog_26774	hypothetical		22
unknown function	phrog_26778	hypothetical		4
unknown function	phrog_26846	hypothetical		17
unknown function	phrog_2713	hypothetical		6
tail	phrog_27398	tail protein		1
unknown function	phrog_27533	hypothetical		27
DNA, RNA and nucleotide metabolism	phrog_2760	RecT-like ssDNA annealing protein		18
DNA, RNA and nucleotide metabolism	phrog_27667	single strand DNA binding protein		11
unknown function	phrog_27765	hypothetical		2
unknown function	phrog_27849	hypothetical		191
unknown function	phrog_28030	hypothetical		2
unknown function	phrog_28378	hypothetical		146
unknown function	phrog_28604	hypothetical		15
unknown function	phrog_28637	hypothetical		18
unknown function	phrog_28663	hypothetical		15
unknown function	phrog_2895	hypothetical		17
moron, auxiliary metabolic gene and host takeover	phrog_293	ABC transporter		235
unknown function	phrog_29364	hypothetical		9
unknown function	phrog_29393	hypothetical		1
unknown function	phrog_29538	hypothetical		6
unknown function	phrog_29755	hypothetical		10
transcription regulation	phrog_2977	anti-repressor		23
unknown function	phrog_29784	hypothetical		133
unknown function	phrog_29996	hypothetical		11
unknown function	phrog_30090	hypothetical		30
unknown function	phrog_30120	hypothetical		35
unknown function	phrog_30171	hypothetical		3
unknown function	phrog_30201	hypothetical		31
unknown function	phrog_30501	hypothetical		7
unknown function	phrog_30623	hypothetical		9
unknown function	phrog_30628	hypothetical		8
unknown function	phrog_30773	hypothetical		112
unknown function	phrog_31116	hypothetical		58
unknown function	phrog_31529	hypothetical		55
DNA, RNA and nucleotide metabolism	phrog_316	dihydrofolate reductase		18
unknown function	phrog_31614	hypothetical		2
transcription regulation	phrog_31800	transcriptional regulator		3
unknown function	phrog_31882	hypothetical		1
unknown function	phrog_31898	hypothetical		5
unknown function	phrog_32098	hypothetical		20
unknown function	phrog_3217	hypothetical		6
DNA, RNA and nucleotide metabolism	phrog_3264	ParB-like partition protein		1
unknown function	phrog_32699	hypothetical		4
unknown function	phrog_32805	hypothetical		106
unknown function	phrog_33002	hypothetical		14
unknown function	phrog_33847	hypothetical		2
unknown function	phrog_34026	hypothetical		1
unknown function	phrog_3423	hypothetical		3
unknown function	phrog_34276	hypothetical		12
unknown function	phrog_34613	hypothetical		93
unknown function	phrog_34724	hypothetical		57
unknown function	phrog_34860	hypothetical		2
unknown function	phrog_35063	hypothetical		100
transcription regulation	phrog_351	RNA polymerase sigma factor		22
lysis	phrog_3513	endolysin		7
unknown function	phrog_35155	hypothetical		61
unknown function	phrog_35435	hypothetical		79
moron, auxiliary metabolic gene and host takeover	phrog_3551	FtsK/SpoIIIE-like protein		12
other	phrog_35515	thymidine kinase		8
unknown function	phrog_35619	hypothetical		3
unknown function	phrog_35649	hypothetical		18
unknown function	phrog_35693	hypothetical		35
head and packaging	phrog_361	terminase small subunit		6
unknown function	phrog_36445	hypothetical		10
unknown function	phrog_37239	hypothetical		13
unknown function	phrog_37310	hypothetical		51
unknown function	phrog_3736	hypothetical		1
unknown function	phrog_37682	hypothetical		5
DNA, RNA and nucleotide metabolism	phrog_379	DNA binding protein		14
head and packaging	phrog_38	terminase large subunit		1
unknown function	phrog_3830	hypothetical		6
unknown function	phrog_38523	hypothetical		5
unknown function	phrog_38585	hypothetical		91
DNA, RNA and nucleotide metabolism	phrog_3869	NAD-dependent DNA ligase		38
unknown function	phrog_3976	hypothetical		3
unknown function	phrog_398	hypothetical		41
unknown function	phrog_3980	hypothetical		29
DNA, RNA and nucleotide metabolism	phrog_3987	ribonucleotide reductase large subunit		1
connector	phrog_4014	head-tail adaptor		8
DNA, RNA and nucleotide metabolism	phrog_405	DNA polymerase		46
unknown function	phrog_4212	hypothetical		18
tail	phrog_43	baseplate wedge subunit		1
unknown function	phrog_4339	hypothetical		44
DNA, RNA and nucleotide metabolism	phrog_44	single strand DNA binding protein		69
tail	phrog_441	tail assembly chaperone		46
DNA, RNA and nucleotide metabolism	phrog_4412	exonuclease V		29
other	phrog_4602	transglycosylase		36
unknown function	phrog_4609	hypothetical		13
transcription regulation	phrog_463	anti-repressor		1
moron, auxiliary metabolic gene and host takeover	phrog_487	NrdD-like anaerobic ribonucleotide reductase large subunit		85
other	phrog_4871	ATP-dependent protease		353
DNA, RNA and nucleotide metabolism	phrog_4880	replisome organizer		4
head and packaging	phrog_4914	terminase large subunit		21
other	phrog_4941	dehydrogenase		44
moron, auxiliary metabolic gene and host takeover	phrog_4980	superinfection exclusion		56
unknown function	phrog_4997	hypothetical		1
unknown function	phrog_5070	hypothetical		15
head and packaging	phrog_51	terminase small subunit		1
DNA, RNA and nucleotide metabolism	phrog_531	Rnase H		2
DNA, RNA and nucleotide metabolism	phrog_543	DNA topoisomerase II large subunit		27
DNA, RNA and nucleotide metabolism	phrog_551	DNA topoisomerase II		19
unknown function	phrog_5517	hypothetical		21
tail	phrog_5555	tail protein		8
DNA, RNA and nucleotide metabolism	phrog_561	RecT-like ssDNA annealing protein		3
head and packaging	phrog_5653	terminase large subunit		11
other	phrog_5725	chaperonin groEL		51
connector	phrog_5774	head-tail joining		2
DNA, RNA and nucleotide metabolism	phrog_5846	clamp loader of DNA polymerase		21
other	phrog_592	thymidine kinase		7
DNA, RNA and nucleotide metabolism	phrog_5968	replisome organizer		6
head and packaging	phrog_6042	minor head protein		33
DNA, RNA and nucleotide metabolism	phrog_6132	ribonucleotide reductase large subunit		26
tail	phrog_6183	minor tail protein		14
DNA, RNA and nucleotide metabolism	phrog_62	DNA helicase		4
unknown function	phrog_6216	hypothetical		1
DNA, RNA and nucleotide metabolism	phrog_6397	ribonucleotide reductase large subunit		8
head and packaging	phrog_64	portal protein		33
DNA, RNA and nucleotide metabolism	phrog_6444	DNA primase		19
unknown function	phrog_6671	hypothetical		2
head and packaging	phrog_6672	terminase large subunit		7
unknown function	phrog_6731	hypothetical		7
unknown function	phrog_6791	hypothetical		57
unknown function	phrog_6797	hypothetical		3
unknown function	phrog_6837	hypothetical		23
head and packaging	phrog_684	virion structural protein		1
other	phrog_6880	translation elongation factor		120
lysis	phrog_689	holin		1
unknown function	phrog_6907	hypothetical		8
other	phrog_729	cold shock protein		39
unknown function	phrog_7298	hypothetical		6
unknown function	phrog_7301	hypothetical		3
unknown function	phrog_731	hypothetical		91
other	phrog_7320	tetrahydrofolate dehydrogenase and cyclohydrolase		34
unknown function	phrog_7602	hypothetical		32
integration and excision	phrog_7685	integrase		6
DNA, RNA and nucleotide metabolism	phrog_7778	single strand DNA binding protein		32
DNA, RNA and nucleotide metabolism	phrog_7909	ribonucleoside-diphosphate reductase beta subunit		25
unknown function	phrog_7964	hypothetical		32
transcription regulation	phrog_8	transcriptional regulator		2
head and packaging	phrog_80	head maturation protease		10
DNA, RNA and nucleotide metabolism	phrog_8097	exonuclease		88
unknown function	phrog_8212	hypothetical		2
DNA, RNA and nucleotide metabolism	phrog_8275	DNA invertase		2
moron, auxiliary metabolic gene and host takeover	phrog_841	GtrB-like O-antigen conversion		17
moron, auxiliary metabolic gene and host takeover	phrog_8429	NifU-like Fe-S cluster assembly protein		3
unknown function	phrog_8439	hypothetical		105
unknown function	phrog_8508	hypothetical		2
unknown function	phrog_857	hypothetical		6
unknown function	phrog_8572	hypothetical		4
DNA, RNA and nucleotide metabolism	phrog_864	DNA primase		48
unknown function	phrog_8702	hypothetical		5
head and packaging	phrog_8711	terminase large subunit		12
head and packaging	phrog_873	endolysin		4
unknown function	phrog_8732	hypothetical		1
unknown function	phrog_8735	hypothetical		13
unknown function	phrog_8737	hypothetical		1
unknown function	phrog_8741	hypothetical		3
lysis	phrog_881	holin		45
unknown function	phrog_8986	hypothetical		14
unknown function	phrog_9078	hypothetical		2
moron, auxiliary metabolic gene and host takeover	phrog_9151	HicB-like antitoxin		9
moron, auxiliary metabolic gene and host takeover	phrog_9240	cyanobacterial phosphoribosylglycinamide formyltransferase		2
DNA, RNA and nucleotide metabolism	phrog_9270	tyrosyl-tRNA synthetase		40
unknown function	phrog_9408	hypothetical		37
transcription regulation	phrog_9438	anti-repressor		72
DNA, RNA and nucleotide metabolism	phrog_9454	exonuclease		19
DNA, RNA and nucleotide metabolism	phrog_9465	ribonucleoside diphosphate reductase small subunit		7
integration and excision	phrog_95	integrase		19
DNA, RNA and nucleotide metabolism	phrog_9530	ribonucleotide reductase		7
integration and excision	phrog_956	transposase		1
