ID	Function	Clan	Gene	Count
PF00004	ATPase family associated with various cellular activities (AAA)	CL0023	AAA	2
PF00005	ABC transporter	CL0023	ABC_tran	2
PF00006	ATP synthase alpha/beta family, nucleotide-binding domain	CL0023	ATP-synt_ab	3
PF00009	Elongation factor Tu GTP binding domain	CL0023	GTP_EFTU	43
PF00012	Hsp70 protein	CL0108	HSP70	89
PF00033	Cytochrome b/b6/petB	CL0328	Cytochrome_B	3
PF00044	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	CL0063	Gp_dh_N	2
PF00046	Homeodomain	CL0123	Homeodomain	16
PF00056	lactate/malate dehydrogenase, NAD binding domain	CL0063	Ldh_1_N	1
PF00069	Protein kinase domain	CL0016	Pkinase	1
PF00081	Iron/manganese superoxide dismutases, alpha-hairpin domain		Sod_Fe_N	2
PF00091	Tubulin/FtsZ family, GTPase domain	CL0063	Tubulin	9
PF00108	Thiolase, N-terminal domain	CL0046	Thiolase_N	2
PF00113	Enolase, C-terminal TIM barrel domain	CL0036	Enolase_C	47
PF00115	Cytochrome C and Quinol oxidase polypeptide I	CL0714	COX1	3
PF00117	Glutamine amidotransferase class-I	CL0014	GATase	2
PF00120	Glutamine synthetase, catalytic domain	CL0286	Gln-synt_C	39
PF00121	Triosephosphate isomerase	CL0036	TIM	17
PF00122	E1-E2 ATPase		E1-E2_ATPase	3
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family	CL0123	HTH_1	5
PF00128	Alpha amylase, catalytic domain	CL0036	Alpha-amylase	12
PF00133	tRNA synthetases class I (I, L, M and V)	CL0039	tRNA-synt_1	33
PF00140	Sigma-70 factor, region 1.2		Sigma70_r1_2	6
PF00152	tRNA synthetases class II (D, K and N) 	CL0040	tRNA-synt_2	29
PF00154	recA bacterial DNA recombination protein	CL0023	RecA	58
PF00158	Sigma-54 interaction domain	CL0023	Sigma54_activat	9
PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	CL0475	Pro_isomerase	17
PF00162	Phosphoglycerate kinase		PGK	26
PF00163	Ribosomal protein S4/S9 N-terminal domain	CL0492	Ribosomal_S4	1
PF00164	Ribosomal protein S12/S23	CL0021	Ribosom_S12_S23	9
PF00166	Chaperonin 10 Kd subunit	CL0296	Cpn10	2
PF00177	Ribosomal protein S7p/S5e		Ribosomal_S7	14
PF00180	Isocitrate/isopropylmalate dehydrogenase	CL0270	Iso_dh	2
PF00181	Ribosomal Proteins L2, RNA binding domain	CL0021	Ribosomal_L2	7
PF00186	Dihydrofolate reductase	CL0387	DHFR_1	6
PF00189	Ribosomal protein S3, C-terminal domain		Ribosomal_S3_C	10
PF00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	CL0149	2-oxoacid_dh	9
PF00199	Catalase		Catalase	1
PF00202	Aminotransferase class-III	CL0061	Aminotran_3	5
PF00203	Ribosomal protein S19		Ribosomal_S19	16
PF00204	DNA gyrase B	CL0329	DNA_gyraseB	36
PF00206	Lyase		Lyase_1	1
PF00216	Bacterial DNA-binding protein	CL0548	Bac_DNA_binding	4
PF00224	Pyruvate kinase, barrel domain	CL0036	PK	40
PF00226	DnaJ domain	CL0392	DnaJ	4
PF00231	ATP synthase		ATP-synt	6
PF00232	Glycosyl hydrolase family 1	CL0036	Glyco_hydro_1	35
PF00233	3'5'-cyclic nucleotide phosphodiesterase	CL0237	PDEase_I	7
PF00237	Ribosomal protein L22p/L17e		Ribosomal_L22	4
PF00238	Ribosomal protein L14p/L23e		Ribosomal_L14	21
PF00252	Ribosomal protein L16p/L10e	CL0021	Ribosomal_L16	20
PF00253	Ribosomal protein S14p/S29e		Ribosomal_S14	2
PF00266	Aminotransferase class-V	CL0061	Aminotran_5	34
PF00268	Ribonucleotide reductase, small chain	CL0044	Ribonuc_red_sm	3
PF00270	DEAD/DEAH box helicase	CL0023	DEAD	1
PF00271	Helicase conserved C-terminal domain	CL0023	Helicase_C	7
PF00275	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	CL0290	EPSP_synthase	1
PF00276	Ribosomal protein L23		Ribosomal_L23	10
PF00281	Ribosomal protein L5	CL0652	Ribosomal_L5	4
PF00285	Citrate synthase, C-terminal domain		Citrate_synt	1
PF00289	Biotin carboxylase, N-terminal domain	CL0063	Biotin_carb_N	13
PF00298	Ribosomal protein L11, RNA binding domain		Ribosomal_L11	12
PF00303	Thymidylate synthase		Thymidylat_synt	31
PF00306	ATP synthase alpha/beta chain, C terminal domain		ATP-synt_ab_C	10
PF00308	Bacterial dnaA  protein	CL0023	Bac_DnaA	13
PF00310	Glutamine amidotransferases class-II	CL0052	GATase_2	3
PF00312	Ribosomal protein S15	CL0600	Ribosomal_S15	9
PF00313	'Cold-shock' DNA-binding domain	CL0021	CSD	8
PF00318	Ribosomal protein S2	CL0067	Ribosomal_S2	28
PF00327	Ribosomal protein L30p/L7e		Ribosomal_L30	3
PF00330	Aconitase family (aconitate hydratase)		Aconitase	2
PF00333	Ribosomal protein S5, N-terminal domain	CL0196	Ribosomal_S5	20
PF00334	Nucleoside diphosphate kinase		NDK	1
PF00338	Ribosomal protein S10p/S20e		Ribosomal_S10	7
PF00344	SecY	CL0376	SecY	18
PF00348	Polyprenyl synthetase	CL0613	polyprenyl_synt	4
PF00356	Bacterial regulatory proteins, lacI family	CL0123	LacI	6
PF00358	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1	CL0105	PTS_EIIA_1	72
PF00364	Biotin-requiring enzyme	CL0105	Biotin_lipoyl	1
PF00365	Phosphofructokinase	CL0240	PFK	24
PF00366	Ribosomal protein S17	CL0021	Ribosomal_S17	10
PF00367	phosphotransferase system, EIIB		PTS_EIIB	4
PF00368	Hydroxymethylglutaryl-coenzyme A reductase		HMG-CoA_red	3
PF00380	Ribosomal protein S9/S16	CL0329	Ribosomal_S9	11
PF00381	PTS HPr component phosphorylation site		PTS-HPr	6
PF00390	Malic enzyme, N-terminal domain	CL0603	malic	1
PF00391	PEP-utilising enzyme, mobile domain	CL0364	PEP-utilizers	5
PF00392	Bacterial regulatory proteins, gntR family	CL0123	GntR	1
PF00393	6-phosphogluconate dehydrogenase, C-terminal domain	CL0106	6PGD	24
PF00406	Adenylate kinase	CL0023	ADK	10
PF00408	Phosphoglucomutase/phosphomannomutase, C-terminal domain		PGM_PMM_IV	1
PF00410	Ribosomal protein S8		Ribosomal_S8	20
PF00411	Ribosomal protein S11	CL0267	Ribosomal_S11	19
PF00413	Matrixin	CL0126	Peptidase_M10	20
PF00416	Ribosomal protein S13/S18	CL0303	Ribosomal_S13	5
PF00436	Single-strand binding protein family	CL0021	SSB	8
PF00437	Type II/IV secretion system protein	CL0023	T2SSE	2
PF00438	S-adenosylmethionine synthetase, N-terminal domain		S-AdoMet_synt_N	11
PF00444	Ribosomal protein L36		Ribosomal_L36	3
PF00448	SRP54-type protein, GTPase domain	CL0023	SRP54	21
PF00449	Urease alpha-subunit, N-terminal domain	CL0036	Urease_alpha	6
PF00453	Ribosomal protein L20		Ribosomal_L20	15
PF00456	Transketolase, thiamine diphosphate binding domain	CL0254	Transketolase_N	45
PF00459	Inositol monophosphatase family	CL0171	Inositol_P	2
PF00464	Serine hydroxymethyltransferase	CL0061	SHMT	30
PF00465	Iron-containing alcohol dehydrogenase 	CL0224	Fe-ADH	13
PF00468	Ribosomal protein L34		Ribosomal_L34	2
PF00471	Ribosomal protein L33	CL0167	Ribosomal_L33	5
PF00472	RF-1 domain	CL0337	RF-1	21
PF00475	Imidazoleglycerol-phosphate dehydratase	CL0329	IGPD	3
PF00476	DNA polymerase family A		DNA_pol_A	45
PF00478	IMP dehydrogenase / GMP reductase domain	CL0036	IMPDH	43
PF00479	Glucose-6-phosphate dehydrogenase, NAD binding domain	CL0063	G6PD_N	1
PF00480	ROK family	CL0108	ROK	4
PF00483	Nucleotidyl transferase	CL0110	NTP_transferase	3
PF00486	Transcriptional regulatory protein, C terminal	CL0123	Trans_reg_C	29
PF00488	MutS domain V	CL0023	MutS_V	25
PF00490	Delta-aminolevulinic acid dehydratase	CL0036	ALAD	3
PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle	CL0177	SBP_bac_5	7
PF00521	DNA gyrase/topoisomerase IV, subunit A		DNA_topoisoIV	70
PF00535	Glycosyl transferase family 2	CL0110	Glycos_transf_2	1
PF00542	Ribosomal protein L7/L12 C-terminal domain		Ribosomal_L12	4
PF00551	Formyl transferase		Formyl_trans_N	8
PF00557	Metallopeptidase family M24		Peptidase_M24	3
PF00562	RNA polymerase Rpb2, domain 6	CL0410	RNA_pol_Rpb2_6	39
PF00570	HRDC domain	CL0426	HRDC	1
PF00572	Ribosomal protein L13		Ribosomal_L13	5
PF00573	Ribosomal protein L4/L1 family		Ribosomal_L4	13
PF00574	Clp protease	CL0127	CLP_protease	20
PF00578	AhpC/TSA family	CL0172	AhpC-TSA	4
PF00580	UvrD/REP helicase N-terminal domain	CL0023	UvrD-helicase	16
PF00584	SecE/Sec61-gamma subunits of protein translocation complex		SecE	5
PF00589	Phage integrase family	CL0382	Phage_integrase	13
PF00596	Class II Aldolase and Adducin N-terminal domain		Aldolase_II	4
PF00623	RNA polymerase Rpb1, domain 2		RNA_pol_Rpb1_2	13
PF00625	Guanylate kinase	CL0023	Guanylate_kin	1
PF00654	Voltage gated chloride channel		Voltage_CLC	3
PF00670	S-adenosyl-L-homocysteine hydrolase, NAD binding domain	CL0063	AdoHcyase_NAD	4
PF00673	ribosomal L5P family C-terminus		Ribosomal_L5_C	10
PF00675	Insulinase (Peptidase family M16)	CL0094	Peptidase_M16	1
PF00676	Dehydrogenase E1 component	CL0254	E1_dh	11
PF00682	HMGL-like	CL0036	HMGL-like	2
PF00687	Ribosomal protein L1p/L10e family		Ribosomal_L1	13
PF00690	Cation transporter/ATPase, N-terminus		Cation_ATPase_N	5
PF00694	Aconitase C-terminal domain	CL0364	Aconitase_C	2
PF00707	Translation initiation factor IF-3, C-terminal domain		IF3_C	13
PF00709	Adenylosuccinate synthetase	CL0023	Adenylsucc_synt	44
PF00710	Asparaginase, N-terminal		Asparaginase	2
PF00719	Inorganic pyrophosphatase		Pyrophosphatase	1
PF00724	NADH:flavin oxidoreductase / NADH oxidase family	CL0036	Oxidored_FMN	13
PF00731	AIR carboxylase	CL0224	AIRC	15
PF00737	Photosystem II 10 kDa phosphoprotein		PsbH	1
PF00749	tRNA synthetases class I (E and Q), catalytic domain	CL0039	tRNA-synt_1c	25
PF00763	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain	CL0603	THF_DHG_CYH	6
PF00764	Arginosuccinate synthase N-terminal HUP domain	CL0039	Arginosuc_synth	2
PF00766	Electron transfer flavoprotein FAD-binding domain	CL0063	ETF_alpha	1
PF00768	D-alanyl-D-alanine carboxypeptidase	CL0013	Peptidase_S11	2
PF00773	RNB domain		RNB	10
PF00781	Diacylglycerol kinase catalytic domain	CL0240	DAGK_cat	2
