ID	Function	Clan	Gene	Count
PF00005	ABC transporter	CL0023	ABC_tran	1
PF00006	ATP synthase alpha/beta family, nucleotide-binding domain	CL0023	ATP-synt_ab	4
PF00009	Elongation factor Tu GTP binding domain	CL0023	GTP_EFTU	16
PF00012	Hsp70 protein	CL0108	HSP70	11
PF00046	Homeodomain	CL0123	Homeodomain	16
PF00091	Tubulin/FtsZ family, GTPase domain	CL0063	Tubulin	3
PF00113	Enolase, C-terminal TIM barrel domain	CL0036	Enolase_C	7
PF00120	Glutamine synthetase, catalytic domain	CL0286	Gln-synt_C	4
PF00121	Triosephosphate isomerase	CL0036	TIM	1
PF00128	Alpha amylase, catalytic domain	CL0036	Alpha-amylase	3
PF00133	tRNA synthetases class I (I, L, M and V)	CL0039	tRNA-synt_1	4
PF00140	Sigma-70 factor, region 1.2		Sigma70_r1_2	2
PF00152	tRNA synthetases class II (D, K and N) 	CL0040	tRNA-synt_2	1
PF00154	recA bacterial DNA recombination protein	CL0023	RecA	13
PF00158	Sigma-54 interaction domain	CL0023	Sigma54_activat	8
PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	CL0475	Pro_isomerase	1
PF00162	Phosphoglycerate kinase		PGK	4
PF00164	Ribosomal protein S12/S23	CL0021	Ribosom_S12_S23	1
PF00177	Ribosomal protein S7p/S5e		Ribosomal_S7	8
PF00181	Ribosomal Proteins L2, RNA binding domain	CL0021	Ribosomal_L2	5
PF00186	Dihydrofolate reductase	CL0387	DHFR_1	3
PF00189	Ribosomal protein S3, C-terminal domain		Ribosomal_S3_C	6
PF00196	Bacterial regulatory proteins, luxR family	CL0123	GerE	1
PF00203	Ribosomal protein S19		Ribosomal_S19	1
PF00204	DNA gyrase B	CL0329	DNA_gyraseB	3
PF00224	Pyruvate kinase, barrel domain	CL0036	PK	5
PF00226	DnaJ domain	CL0392	DnaJ	3
PF00231	ATP synthase		ATP-synt	1
PF00232	Glycosyl hydrolase family 1	CL0036	Glyco_hydro_1	9
PF00233	3'5'-cyclic nucleotide phosphodiesterase	CL0237	PDEase_I	4
PF00237	Ribosomal protein L22p/L17e		Ribosomal_L22	2
PF00238	Ribosomal protein L14p/L23e		Ribosomal_L14	3
PF00248	Aldo/keto reductase family	CL0036	Aldo_ket_red	1
PF00252	Ribosomal protein L16p/L10e	CL0021	Ribosomal_L16	3
PF00266	Aminotransferase class-V	CL0061	Aminotran_5	22
PF00268	Ribonucleotide reductase, small chain	CL0044	Ribonuc_red_sm	2
PF00271	Helicase conserved C-terminal domain	CL0023	Helicase_C	2
PF00276	Ribosomal protein L23		Ribosomal_L23	5
PF00281	Ribosomal protein L5	CL0652	Ribosomal_L5	4
PF00289	Biotin carboxylase, N-terminal domain	CL0063	Biotin_carb_N	1
PF00298	Ribosomal protein L11, RNA binding domain		Ribosomal_L11	5
PF00303	Thymidylate synthase		Thymidylat_synt	2
PF00306	ATP synthase alpha/beta chain, C terminal domain		ATP-synt_ab_C	4
PF00308	Bacterial dnaA  protein	CL0023	Bac_DnaA	3
PF00312	Ribosomal protein S15	CL0600	Ribosomal_S15	1
PF00313	'Cold-shock' DNA-binding domain	CL0021	CSD	6
PF00318	Ribosomal protein S2	CL0067	Ribosomal_S2	9
PF00330	Aconitase family (aconitate hydratase)		Aconitase	2
PF00333	Ribosomal protein S5, N-terminal domain	CL0196	Ribosomal_S5	3
PF00338	Ribosomal protein S10p/S20e		Ribosomal_S10	2
PF00344	SecY	CL0376	SecY	1
PF00356	Bacterial regulatory proteins, lacI family	CL0123	LacI	6
PF00358	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1	CL0105	PTS_EIIA_1	23
PF00365	Phosphofructokinase	CL0240	PFK	9
PF00368	Hydroxymethylglutaryl-coenzyme A reductase		HMG-CoA_red	2
PF00380	Ribosomal protein S9/S16	CL0329	Ribosomal_S9	6
PF00381	PTS HPr component phosphorylation site		PTS-HPr	2
PF00391	PEP-utilising enzyme, mobile domain	CL0364	PEP-utilizers	1
PF00392	Bacterial regulatory proteins, gntR family	CL0123	GntR	2
PF00393	6-phosphogluconate dehydrogenase, C-terminal domain	CL0106	6PGD	2
PF00406	Adenylate kinase	CL0023	ADK	1
PF00410	Ribosomal protein S8		Ribosomal_S8	2
PF00413	Matrixin	CL0126	Peptidase_M10	18
PF00416	Ribosomal protein S13/S18	CL0303	Ribosomal_S13	3
PF00438	S-adenosylmethionine synthetase, N-terminal domain		S-AdoMet_synt_N	1
PF00444	Ribosomal protein L36		Ribosomal_L36	3
PF00448	SRP54-type protein, GTPase domain	CL0023	SRP54	3
PF00453	Ribosomal protein L20		Ribosomal_L20	2
PF00456	Transketolase, thiamine diphosphate binding domain	CL0254	Transketolase_N	8
PF00464	Serine hydroxymethyltransferase	CL0061	SHMT	7
PF00465	Iron-containing alcohol dehydrogenase 	CL0224	Fe-ADH	3
PF00471	Ribosomal protein L33	CL0167	Ribosomal_L33	1
PF00472	RF-1 domain	CL0337	RF-1	1
PF00476	DNA polymerase family A		DNA_pol_A	14
PF00478	IMP dehydrogenase / GMP reductase domain	CL0036	IMPDH	13
PF00480	ROK family	CL0108	ROK	5
PF00486	Transcriptional regulatory protein, C terminal	CL0123	Trans_reg_C	1
PF00488	MutS domain V	CL0023	MutS_V	4
PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle	CL0177	SBP_bac_5	2
PF00521	DNA gyrase/topoisomerase IV, subunit A		DNA_topoisoIV	6
PF00535	Glycosyl transferase family 2	CL0110	Glycos_transf_2	4
PF00542	Ribosomal protein L7/L12 C-terminal domain		Ribosomal_L12	3
PF00551	Formyl transferase		Formyl_trans_N	3
PF00557	Metallopeptidase family M24		Peptidase_M24	2
PF00562	RNA polymerase Rpb2, domain 6	CL0410	RNA_pol_Rpb2_6	4
PF00570	HRDC domain	CL0426	HRDC	1
PF00572	Ribosomal protein L13		Ribosomal_L13	2
PF00573	Ribosomal protein L4/L1 family		Ribosomal_L4	2
PF00574	Clp protease	CL0127	CLP_protease	5
PF00580	UvrD/REP helicase N-terminal domain	CL0023	UvrD-helicase	1
PF00584	SecE/Sec61-gamma subunits of protein translocation complex		SecE	1
PF00589	Phage integrase family	CL0382	Phage_integrase	6
PF00623	RNA polymerase Rpb1, domain 2		RNA_pol_Rpb1_2	3
PF00672	HAMP domain	CL0681	HAMP	1
PF00673	ribosomal L5P family C-terminus		Ribosomal_L5_C	3
PF00676	Dehydrogenase E1 component	CL0254	E1_dh	2
PF00687	Ribosomal protein L1p/L10e family		Ribosomal_L1	4
PF00689	Cation transporting ATPase, C-terminus		Cation_ATPase_C	6
PF00694	Aconitase C-terminal domain	CL0364	Aconitase_C	1
PF00707	Translation initiation factor IF-3, C-terminal domain		IF3_C	1
PF00709	Adenylosuccinate synthetase	CL0023	Adenylsucc_synt	7
PF00724	NADH:flavin oxidoreductase / NADH oxidase family	CL0036	Oxidored_FMN	4
