principal component 1	principal component 2	scaffold
0.3057667752656886	0.21065909553459017	GCA_025728675___contig_21
0.006980862143413955	-0.4205794009571704	MP_ONT81___contig_3
-0.06620004467889894	0.3027668681167106	GCA_025728595___contig_11
-0.05485751179706657	0.04842809685148295	GCA_025728675___contig_22_fragment_4
0.11946793009562579	0.008103217654891087	GCA_025728615___contig_1_fragment_4
-0.11379469161534522	0.02129670418722041	MP_QEQMy132961___contig_1_fragment_7
-0.13431503559759045	-0.11039893607217015	MP_QEQMy132961___contig_1_fragment_10
-0.09133764034326915	0.10551473387442793	MP_BCQMy206___contig_1_fragment_3
-0.14630968453005647	-0.009342397055454968	MP_BCQMy206___contig_1_fragment_5
-0.10879047008431685	-0.11299445651204541	MP_BCQMy206___contig_1_fragment_11
-0.09524579920908957	0.06659408346500903	MP_BCQMy206___contig_1_fragment_12
-0.10491720795063263	0.04338297625814909	MP_BCQMy206___contig_1_fragment_14
0.006980862143414423	-0.42057940095717056	MP_ONT63___contig_3
0.006980862143414411	-0.42057940095717056	MP_ONT141___contig_3
0.006980862143414415	-0.42057940095717056	MP_BCQMy206___contig_3
0.0044254979475181625	-0.4428916992342251	MP_QEQMy133751___contig_3
-0.1137946916153449	0.02129670418722051	GCA_001047555___contig_9_fragment_1
-0.11379469161534492	0.021296704187220447	GCA_001047465___contig_12_fragment_1
-0.09133764034326917	0.10551473387442804	MP_LCAL0054___contig_1_fragment_3
-0.14630968453005647	-0.009342397055454888	MP_LCAL0054___contig_1_fragment_5
-0.16746378273764073	0.15941016064793265	MP_LCAL0054___contig_1_fragment_7
-0.10768532265119345	-0.046031474202688376	MP_LCAL0054___contig_1_fragment_12
-0.09524579920908958	0.06659408346500902	MP_LCAL0054___contig_1_fragment_13
-0.11061627997646044	0.10967740703947766	GCA_000283975___contig_1_fragment_5
-0.10722245040323833	0.044085166385171855	MP_ATCC35311___contig_1_fragment_7
-0.17330143212450108	0.11591391476716698	MP_ATCC35311___contig_1_fragment_8
1.320119479197245	-0.124070138665911	GCA_025728595___contig_43
0.7307246099367511	0.6905602921907678	GCA_025728595___contig_19
-0.06889676301251721	-0.0883807610336793	GCA_025728615___contig_9
0.39378034002925977	-0.5729538726850205	GCA_025728675___contig_13
0.3466868646776235	0.18767434202378985	GCA_025728595___contig_14
-0.1384013208235347	-0.10057927345858335	GCA_001047435___contig_4_fragment_1
-0.09133764034326917	0.10551473387442803	MP_BCQMy204___contig_1_fragment_3
-0.14630968453005647	-0.009342397055454912	MP_BCQMy204___contig_1_fragment_5
-0.1087904700843168	-0.11299445651204545	MP_BCQMy204___contig_1_fragment_11
-0.09524579920908958	0.06659408346500902	MP_BCQMy204___contig_1_fragment_12
-0.10491720795063263	0.043382976258149075	MP_BCQMy204___contig_1_fragment_14
-0.09133764034326917	0.10551473387442803	MP_BCQMy225___contig_1_fragment_3
-0.14630968453005647	-0.009342397055454912	MP_BCQMy225___contig_1_fragment_5
-0.1087904700843168	-0.11299445651204545	MP_BCQMy225___contig_1_fragment_11
-0.09524579920908958	0.06659408346500902	MP_BCQMy225___contig_1_fragment_12
-0.14867049248257544	0.15108853652943263	MP_BCQMy225___contig_1_fragment_14
-0.1384013208235347	-0.10057927345858335	GCA_001047525___contig_5_fragment_1
-0.10469627421729318	0.012000502076678445	GCA_001047515___contig_15_fragment_2
-0.1767970638092627	0.10021763569725615	GCA_001047515___contig_15_fragment_3
-0.13567645477208867	-0.10023033844542767	GCA_000747585___contig_1_fragment_8
-0.1137946916153449	0.021296704187220482	GCA_000747585___contig_1_fragment_11
-0.165898835892292	0.19140271406172465	GCA_025728645___contig_1_fragment_4
0.5449515420451873	-0.06552885975945766	GCA_025728675___contig_23
0.16401732233548688	0.24193918171460332	GCA_025728675___contig_26
0.006980862143414411	-0.42057940095717056	MP_BCQMy224___contig_3
0.32139546900507565	0.37037122760118185	GCA_025728675___contig_11
-0.012051079472884679	-0.4388808396371366	MP_AB35___contig_3
-0.1111240131070368	-0.008828205603185639	GCA_001047545___contig_10_fragment_1
-0.1137946916153449	0.021296704187220482	GCA_001047435___contig_7_fragment_1
-0.1384013208235347	-0.10057927345858335	GCA_001047545___contig_7_fragment_1
-0.09524579920908961	0.06659408346500903	GCA_003966875___contig_1_fragment_4
-0.1767970638092627	0.1002176356972561	GCA_001047595___contig_10_fragment_2
-0.10722245040323833	0.044085166385171855	GCA_001047595___contig_10_fragment_3
-0.10469627421729318	0.012000502076678445	GCA_014202715___contig_2_fragment_5
-0.17734377509198315	0.12363772501349787	GCA_014202715___contig_2_fragment_6
0.6954556554067551	-0.3166926069457895	GCA_025728645___contig_27
0.6381594183265533	0.10025957570137149	GCA_025728595___contig_25
1.0546201475858552	-0.183500419537267	GCA_025728695___contig_141
0.006980862143414411	-0.42057940095717056	MP_ONT231___contig_3
0.004425497947518159	-0.4428916992342251	MP_ONT143___contig_3
0.19233482528571344	-0.16255827584886065	GCA_025728675___contig_18
1.6714522035050474	0.24763917382029152	GCA_025728695___contig_128
-0.010930443979798627	0.2018778581561012	GCA_025728645___contig_9
0.006980862143414411	-0.42057940095717056	MP_LCAL0054___contig_3
-0.09133764034326917	0.10551473387442803	MP_BCQMy205___contig_1_fragment_3
-0.14630968453005647	-0.009342397055454912	MP_BCQMy205___contig_1_fragment_5
-0.1087904700843168	-0.11299445651204545	MP_BCQMy205___contig_1_fragment_11
-0.09524579920908958	0.06659408346500902	MP_BCQMy205___contig_1_fragment_12
-0.10491720795063263	0.043382976258149075	MP_BCQMy205___contig_1_fragment_14
-0.165898835892292	0.19140271406172465	GCA_025728635___contig_1_fragment_4
-0.10679813171690487	-0.020119235964293488	GCA_001047455___contig_5_fragment_1
-0.12783418052139425	-0.13176582415291732	GCA_009731445___contig_1_fragment_6
-0.1137946916153449	0.021296704187220482	GCA_009731445___contig_1_fragment_9
-0.08229002538837447	0.39433604313145443	GCA_025728645___contig_8
0.006980862143414411	-0.42057940095717056	MP_BCQMy204___contig_3
0.006980862143414411	-0.42057940095717056	MP_BC9___contig_3
0.2564493621140763	-0.2673211587317493	GCA_025728635___contig_25
0.1686102603782108	0.018400041367454906	GCA_025728595___contig_27
0.7971617389549931	-0.3150769486256493	GCA_025728595___contig_22
0.004425497947518159	-0.4428916992342251	MP_LCAL0064___contig_3
-0.09133764034326917	0.10551473387442803	MP_LCAL0064___contig_1_fragment_3
-0.14630968453005647	-0.009342397055454912	MP_LCAL0064___contig_1_fragment_5
-0.16746378273764073	0.15941016064793262	MP_LCAL0064___contig_1_fragment_7
-0.10768532265119345	-0.04603147420268834	MP_LCAL0064___contig_1_fragment_12
-0.09524579920908958	0.06659408346500902	MP_LCAL0064___contig_1_fragment_13
-0.18080413302676168	0.1468113265352808	GCA_004001205___contig_1_fragment_11
-0.10722245040323833	0.044085166385171855	GCA_004001205___contig_1_fragment_12
-0.0924763086150439	0.30547965460432774	GCA_025728675___contig_42_fragment_2
-0.010930443979798627	0.2018778581561012	GCA_025728615___contig_13
0.006980862143414411	-0.42057940095717056	MP_BCQMy205___contig_3
0.0021391194564530486	-0.4628553345347478	GCA_001047455___contig_8
0.1686102603782108	0.018400041367454906	GCA_025728635___contig_34
-0.010930443979798627	0.2018778581561012	GCA_025728635___contig_22
0.24830303049095373	0.03851578462146677	GCA_025728675___contig_17
-0.01193348860133146	0.16530362143823524	GCA_025728595___contig_10
-0.09133764034326917	0.10551473387442803	MP_BCQMy224___contig_1_fragment_3
-0.14630968453005647	-0.009342397055454912	MP_BCQMy224___contig_1_fragment_5
-0.1087904700843168	-0.11299445651204545	MP_BCQMy224___contig_1_fragment_11
-0.09524579920908958	0.06659408346500902	MP_BCQMy224___contig_1_fragment_12
-0.14867049248257544	0.15108853652943263	MP_BCQMy224___contig_1_fragment_14
-0.09133764034326917	0.10551473387442803	MP_BCQMy302___contig_1_fragment_3
-0.1393704148037167	-0.02872917193277717	MP_BCQMy302___contig_1_fragment_5
-0.15890679685139092	0.09787500822354962	MP_BCQMy302___contig_1_fragment_7
-0.11607345175922515	-0.11361398509842469	MP_BCQMy302___contig_1_fragment_12
-0.09524579920908958	0.06659408346500902	MP_BCQMy302___contig_1_fragment_13
-0.1111240131070368	-0.008828205603185639	GCA_001047405___contig_4_fragment_1
-0.13396105798697122	-0.03725553552562135	MP_ONT63___contig_1_fragment_1
-0.09524579920908961	0.06659408346500903	MP_ONT63___contig_1_fragment_4
-0.15895388263234203	0.01979092954618163	MP_ONT63___contig_1_fragment_12
-0.0913376403432692	0.10551473387442803	MP_ONT63___contig_1_fragment_14
-0.1386240833788004	-0.10064308800218308	GCA_001047455___contig_4_fragment_1
-0.14899062034404964	-0.0048812726639769505	GCA_025728595___contig_34_fragment_3
0.5038734174634666	-0.3735633958927445	GCA_025728595___contig_21
0.29009353817236144	0.9071650766637542	GCA_025728695___contig_122
0.14730831132770694	0.09662979341709649	GCA_025728695___contig_102
0.4238828300919843	0.17126843627577834	GCA_025728595___contig_17
-0.0051855149229452285	0.20352360164893718	GCA_025728695___contig_87
0.28599586766375573	-0.21183319761050917	GCA_025728645___contig_12
-0.014977108794587062	0.01843133306542282	GCA_025728635___contig_26_fragment_1
-0.12164784495885402	-0.014952529204332791	MP_ONT141___contig_1_fragment_1
-0.09524579920908961	0.06659408346500903	MP_ONT141___contig_1_fragment_4
-0.15695404314299205	0.019424208028049134	MP_ONT141___contig_1_fragment_12
